id	countNS	countWS
GO:0043169	0	47
GO:0046872	0	47
GO:0005488	0	47
GO:0043167	0	47
GO:0005618	0	47
GO:0044464	0	47
GO:0005623	0	47
GO:0030312	0	47
GO:0071944	0	47
GO:0005576	0	47
GO:0003824	2	106
GO:0005488	2	106
GO:0043167	2	106
GO:1901363	2	106
GO:0043168	2	106
GO:0050662	2	106
GO:0036094	2	106
GO:0048037	2	106
GO:0097159	2	106
GO:0043169	2	106
GO:0030976	2	106
GO:1901681	2	106
GO:0019842	2	106
GO:0046872	2	106
GO:0000287	2	106
GO:0016740	2	106
GO:0016744	2	106
GO:0003984	2	106
GO:1901265	2	106
GO:0000166	2	106
GO:0050660	2	106
GO:0016829	2	106
GO:0016830	2	106
GO:0016831	2	106
GO:0008152	2	106
GO:0044710	2	106
GO:0071704	2	106
GO:0009987	2	106
GO:0044237	2	106
GO:0044281	2	106
GO:0044249	2	106
GO:0009058	2	106
GO:1901576	2	106
GO:0043436	2	106
GO:0006082	2	106
GO:0019752	2	106
GO:1901564	2	106
GO:0006807	2	106
GO:0044238	2	106
GO:0009082	2	106
GO:0006520	2	106
GO:0044283	2	106
GO:0044711	2	106
GO:0008652	2	106
GO:0009081	2	106
GO:1901566	2	106
GO:0016053	2	106
GO:0046394	2	106
GO:1901605	2	106
GO:0006573	2	106
GO:1901607	2	106
GO:0006549	2	106
GO:0009099	2	106
GO:0009097	2	106
GO:0003824	0	30
GO:0016740	0	30
GO:0046912	0	30
GO:0016746	0	30
GO:0003852	0	30
GO:0016829	0	30
GO:0016833	0	30
GO:0016830	0	30
GO:0004419	0	30
GO:0004410	0	30
GO:0005488	0	30
GO:0008701	0	30
GO:0043167	0	30
GO:0046872	0	30
GO:0043169	0	30
GO:0046914	0	30
GO:0030145	0	30
GO:0008152	0	30
GO:0009987	0	30
GO:0044237	0	30
GO:0044710	0	30
GO:0044281	0	30
GO:0019752	0	30
GO:0071704	0	30
GO:0043436	0	30
GO:0006082	0	30
GO:0044249	0	30
GO:0009058	0	30
GO:0044711	0	30
GO:0044283	0	30
GO:0006807	0	30
GO:0044238	0	30
GO:1901564	0	30
GO:0006520	0	30
GO:1901605	0	30
GO:0008652	0	30
GO:1901576	0	30
GO:1901566	0	30
GO:0016053	0	30
GO:0046394	0	30
GO:1901607	0	30
GO:0009081	0	30
GO:0006551	0	30
GO:0009082	0	30
GO:0009098	0	30
GO:0006725	0	30
GO:0009056	0	30
GO:0019439	0	30
GO:0044248	0	30
GO:0004553	0	28
GO:0003824	0	28
GO:0016798	0	28
GO:0016787	0	28
GO:0015929	0	28
GO:0004563	0	28
GO:0005488	0	28
GO:0030246	0	28
GO:0030247	0	28
GO:0001871	0	28
GO:0008152	0	28
GO:0005975	0	28
GO:0071704	0	28
GO:0044238	0	28
GO:0044699	0	28
GO:0009987	0	28
GO:0044763	0	28
GO:0022610	0	28
GO:0007155	0	28
GO:0044464	0	28
GO:0005623	0	28
GO:0016020	0	28
GO:0005618	0	26
GO:0044464	0	26
GO:0071944	0	26
GO:0005623	0	26
GO:0030312	0	26
GO:0016020	0	26
GO:0005576	0	26
GO:0008233	2	78
GO:0016787	2	78
GO:0008234	2	78
GO:0003824	2	78
GO:0070011	2	78
GO:0004175	2	78
GO:0004197	2	78
GO:0004177	2	78
GO:0008238	2	78
GO:0008152	2	78
GO:0071704	2	78
GO:0044238	2	78
GO:0019538	2	78
GO:0006508	2	78
GO:0043170	2	78
GO:0005737	2	78
GO:0044464	2	78
GO:0005623	2	78
GO:0005622	2	78
GO:0044424	2	78
GO:0016787	1	46
GO:0003824	1	46
GO:0016810	1	46
GO:0016811	1	46
GO:0042586	1	46
GO:0005488	1	46
GO:0043169	1	46
GO:0046914	1	46
GO:0043167	1	46
GO:0005506	1	46
GO:0046872	1	46
GO:0008152	1	46
GO:0044260	1	46
GO:0071704	1	46
GO:0009987	1	46
GO:0044238	1	46
GO:0044237	1	46
GO:0043170	1	46
GO:0044267	1	46
GO:0019538	1	46
GO:0034645	1	46
GO:0044249	1	46
GO:1901576	1	46
GO:0009058	1	46
GO:0009059	1	46
GO:0010467	1	46
GO:0006412	1	46
GO:0004553	0	20
GO:0016787	0	20
GO:0003824	0	20
GO:0016798	0	20
GO:0004564	0	20
GO:0004575	0	20
GO:0015926	0	20
GO:0004558	0	20
GO:0031219	0	20
GO:0008152	0	20
GO:0005975	0	20
GO:0044238	0	20
GO:0071704	0	20
GO:0009987	0	20
GO:0044237	0	20
GO:0005623	0	20
GO:0044464	0	20
GO:0005737	0	20
GO:0005622	0	20
GO:0044424	0	20
GO:0005618	0	19
GO:0071944	0	19
GO:0044464	0	19
GO:0005623	0	19
GO:0030312	0	19
GO:0003824	0	18
GO:0046872	0	18
GO:0005488	0	18
GO:0043167	0	18
GO:0043169	0	18
GO:0016787	0	18
GO:0008233	0	18
GO:0008237	0	18
GO:0070011	0	18
GO:0004175	0	18
GO:0004222	0	18
GO:0008152	0	18
GO:0019538	0	18
GO:0043170	0	18
GO:0071704	0	18
GO:0044238	0	18
GO:0006508	0	18
GO:0044464	0	18
GO:0005623	0	18
GO:0005622	0	18
GO:0044424	0	18
GO:0005737	0	18
GO:0043229	0	18
GO:0043227	0	18
GO:0043226	0	18
GO:0005739	0	18
GO:0043231	0	18
GO:0044444	0	18
GO:0016772	0	17
GO:0003824	0	17
GO:0016740	0	17
GO:0016301	0	17
GO:0016773	0	17
GO:0004305	0	17
GO:0004103	0	17
GO:0016310	0	17
GO:0008152	0	17
GO:0009987	0	17
GO:0044237	0	17
GO:0006796	0	17
GO:0006793	0	17
GO:0071704	0	17
GO:0044710	0	17
GO:0009058	0	17
GO:0046474	0	17
GO:0019637	0	17
GO:1901576	0	17
GO:0090407	0	17
GO:0044249	0	17
GO:0044238	0	17
GO:0006629	0	17
GO:0008654	0	17
GO:0046486	0	17
GO:0006644	0	17
GO:0044255	0	17
GO:0006650	0	17
GO:0045017	0	17
GO:0008610	0	17
GO:0006657	0	17
GO:0044281	0	17
GO:1901564	0	17
GO:0006807	0	17
GO:0034641	0	17
GO:1901566	0	17
GO:0006656	0	17
GO:0006576	0	17
GO:0009308	0	17
GO:0042439	0	17
GO:1901615	0	17
GO:0044106	0	17
GO:0006066	0	17
GO:0044711	0	17
GO:0044283	0	17
GO:1901617	0	17
GO:0046165	0	17
GO:0046470	0	17
GO:0003824	0	17
GO:0016740	0	17
GO:0016772	0	17
GO:0016779	0	17
GO:0016301	0	17
GO:0005488	0	17
GO:0043168	0	17
GO:0043167	0	17
GO:0048037	0	17
GO:0030170	0	17
GO:0008483	0	17
GO:0016769	0	17
GO:0004105	0	17
GO:0070567	0	17
GO:0008152	0	17
GO:0009987	0	17
GO:0044237	0	17
GO:0006796	0	17
GO:0006793	0	17
GO:0016310	0	17
GO:0009058	0	17
GO:0006657	0	17
GO:0071704	0	17
GO:0044238	0	17
GO:0006807	0	17
GO:0044281	0	17
GO:0044710	0	17
GO:1901564	0	17
GO:0006656	0	17
GO:0006650	0	17
GO:0044249	0	17
GO:0034641	0	17
GO:0044283	0	17
GO:0046486	0	17
GO:0045017	0	17
GO:0044711	0	17
GO:0006644	0	17
GO:0006629	0	17
GO:0009308	0	17
GO:1901576	0	17
GO:0046165	0	17
GO:0044106	0	17
GO:0042439	0	17
GO:0044255	0	17
GO:0090407	0	17
GO:0008610	0	17
GO:1901566	0	17
GO:0006576	0	17
GO:0008654	0	17
GO:1901617	0	17
GO:0006066	0	17
GO:0019637	0	17
GO:0046474	0	17
GO:0046470	0	17
GO:1901615	0	17
GO:0016491	0	17
GO:0043169	0	17
GO:0043167	0	17
GO:0046872	0	17
GO:0003824	0	17
GO:0005488	0	17
GO:0016614	0	17
GO:0016616	0	17
GO:0004022	0	17
GO:0044710	0	17
GO:0008152	0	17
GO:0055114	0	17
GO:0003824	0	17
GO:0016787	0	17
GO:0017057	0	17
GO:0052689	0	17
GO:0016788	0	17
GO:0008152	0	17
GO:0044710	0	17
GO:0055114	0	17
GO:0019320	0	17
GO:0006739	0	17
GO:0006732	0	17
GO:0006733	0	17
GO:0046496	0	17
GO:0034641	0	17
GO:0006098	0	17
GO:0044281	0	17
GO:0072524	0	17
GO:1901360	0	17
GO:0006139	0	17
GO:0051186	0	17
GO:0071704	0	17
GO:0046365	0	17
GO:0046483	0	17
GO:0006740	0	17
GO:0019318	0	17
GO:0009987	0	17
GO:0006725	0	17
GO:1901575	0	17
GO:0009117	0	17
GO:0044723	0	17
GO:1901564	0	17
GO:0009056	0	17
GO:0055086	0	17
GO:0044724	0	17
GO:0044238	0	17
GO:0006007	0	17
GO:0005975	0	17
GO:0005996	0	17
GO:0016052	0	17
GO:0044237	0	17
GO:0006796	0	17
GO:0006807	0	17
GO:0006793	0	17
GO:0019637	0	17
GO:0006006	0	17
GO:0006753	0	17
GO:0019362	0	17
GO:0003824	0	17
GO:0051536	0	17
GO:0005488	0	17
GO:0051540	0	17
GO:0051539	0	17
GO:0016765	0	17
GO:0016740	0	17
GO:0043167	0	17
GO:0043169	0	17
GO:0046872	0	17
GO:0046914	0	17
GO:0005506	0	17
GO:0044689	0	17
GO:0008152	0	17
GO:0009987	0	17
GO:0044237	0	17
GO:0051186	0	17
GO:0044249	0	17
GO:0009058	0	17
GO:0051188	0	17
GO:0044710	0	17
GO:0044281	0	17
GO:1901576	0	17
GO:0071704	0	17
GO:0044711	0	17
GO:0044283	0	17
GO:1901663	0	17
GO:1901661	0	17
GO:0009234	0	17
GO:0009233	0	17
GO:0042181	0	17
GO:0042180	0	17
GO:0009228	0	17
GO:1901362	0	17
GO:1901360	0	17
GO:0046483	0	17
GO:1901564	0	17
GO:1901566	0	17
GO:0019438	0	17
GO:0006807	0	17
GO:0018130	0	17
GO:0044271	0	17
GO:0034641	0	17
GO:0006725	0	17
GO:0006772	0	17
GO:0006767	0	17
GO:0006766	0	17
GO:0044272	0	17
GO:0042723	0	17
GO:0042724	0	17
GO:0042364	0	17
GO:0072528	0	17
GO:0072527	0	17
GO:0009110	0	17
GO:0006790	0	17
GO:0006732	0	17
GO:0009108	0	17
GO:0003824	0	16
GO:0016787	0	16
GO:0008484	0	16
GO:0016788	0	16
GO:0016740	0	16
GO:0008960	0	16
