peptide	countNS	countWS
GO:0000315	0.003372638	0.021223443
GO:0000315	0.003372638	0.021223443
GO:0003735	0.003372638	0.021223443
GO:0003735	0.003372638	0.021223443
GO:0003735	0.003372638	0.021223443
GO:0005198	0.003372638	0.021223443
GO:0005622	0.003372638	0.021223443
GO:0005623	0.003372638	0.021223443
GO:0005737	0.003372638	0.021223443
GO:0005840	0.003372638	0.021223443
GO:0006412	0.003372638	0.021223443
GO:0008152	0.003372638	0.021223443
GO:0009058	0.003372638	0.021223443
GO:0009059	0.003372638	0.021223443
GO:0009987	0.003372638	0.021223443
GO:0010467	0.003372638	0.021223443
GO:0019538	0.003372638	0.021223443
GO:0030529	0.003372638	0.021223443
GO:0032991	0.003372638	0.021223443
GO:0034645	0.003372638	0.021223443
GO:0043170	0.003372638	0.021223443
GO:0043226	0.003372638	0.021223443
GO:0043228	0.003372638	0.021223443
GO:0043229	0.003372638	0.021223443
GO:0043232	0.003372638	0.021223443
GO:0044237	0.003372638	0.021223443
GO:0044238	0.003372638	0.021223443
GO:0044249	0.003372638	0.021223443
GO:0044260	0.003372638	0.021223443
GO:0044267	0.003372638	0.021223443
GO:0044424	0.003372638	0.021223443
GO:0044444	0.003372638	0.021223443
GO:0044464	0.003372638	0.021223443
GO:0071704	0.003372638	0.021223443
GO:1901576	0.003372638	0.021223443
GO:0003735	0.003372638	0.021223443
GO:0005198	0.003372638	0.021223443
GO:0005622	0.003372638	0.021223443
GO:0005623	0.003372638	0.021223443
GO:0005737	0.003372638	0.021223443
GO:0005840	0.003372638	0.021223443
GO:0006412	0.003372638	0.021223443
GO:0008152	0.003372638	0.021223443
GO:0009058	0.003372638	0.021223443
GO:0009059	0.003372638	0.021223443
GO:0009987	0.003372638	0.021223443
GO:0010467	0.003372638	0.021223443
GO:0019538	0.003372638	0.021223443
GO:0030529	0.003372638	0.021223443
GO:0032991	0.003372638	0.021223443
GO:0034645	0.003372638	0.021223443
GO:0043170	0.003372638	0.021223443
GO:0043226	0.003372638	0.021223443
GO:0043228	0.003372638	0.021223443
GO:0043229	0.003372638	0.021223443
GO:0043232	0.003372638	0.021223443
GO:0044237	0.003372638	0.021223443
GO:0044238	0.003372638	0.021223443
GO:0044249	0.003372638	0.021223443
GO:0044260	0.003372638	0.021223443
GO:0044267	0.003372638	0.021223443
GO:0044424	0.003372638	0.021223443
GO:0044444	0.003372638	0.021223443
GO:0044464	0.003372638	0.021223443
GO:0071704	0.003372638	0.021223443
GO:1901576	0.003372638	0.021223443
GO:0003735	0.004629334	0.015103682
GO:0003735	0.004629334	0.015103682
GO:0003676	0.004629334	0.015103682
GO:0003723	0.004629334	0.015103682
GO:0003735	0.004629334	0.015103682
GO:0005198	0.004629334	0.015103682
GO:0005488	0.004629334	0.015103682
GO:0005622	0.004629334	0.015103682
GO:0005623	0.004629334	0.015103682
GO:0005737	0.004629334	0.015103682
GO:0005840	0.004629334	0.015103682
GO:0006412	0.004629334	0.015103682
GO:0008152	0.004629334	0.015103682
GO:0009058	0.004629334	0.015103682
GO:0009059	0.004629334	0.015103682
GO:0009987	0.004629334	0.015103682
GO:0010467	0.004629334	0.015103682
GO:0019538	0.004629334	0.015103682
GO:0019843	0.004629334	0.015103682
GO:0030529	0.004629334	0.015103682
GO:0032991	0.004629334	0.015103682
GO:0034645	0.004629334	0.015103682
GO:0043170	0.004629334	0.015103682
GO:0043226	0.004629334	0.015103682
GO:0043228	0.004629334	0.015103682
GO:0043229	0.004629334	0.015103682
GO:0043232	0.004629334	0.015103682
GO:0044237	0.004629334	0.015103682
GO:0044238	0.004629334	0.015103682
GO:0044249	0.004629334	0.015103682
GO:0044260	0.004629334	0.015103682
GO:0044267	0.004629334	0.015103682
GO:0044424	0.004629334	0.015103682
GO:0044444	0.004629334	0.015103682
GO:0044464	0.004629334	0.015103682
GO:0071704	0.004629334	0.015103682
GO:0097159	0.004629334	0.015103682
GO:1901363	0.004629334	0.015103682
GO:1901576	0.004629334	0.015103682
GO:0003676	0.004629334	0.015103682
GO:0003723	0.004629334	0.015103682
GO:0003735	0.004629334	0.015103682
GO:0005198	0.004629334	0.015103682
GO:0005488	0.004629334	0.015103682
GO:0005622	0.004629334	0.015103682
GO:0005623	0.004629334	0.015103682
GO:0005737	0.004629334	0.015103682
GO:0005840	0.004629334	0.015103682
GO:0006412	0.004629334	0.015103682
GO:0008152	0.004629334	0.015103682
GO:0009058	0.004629334	0.015103682
GO:0009059	0.004629334	0.015103682
GO:0009987	0.004629334	0.015103682
GO:0010467	0.004629334	0.015103682
GO:0019538	0.004629334	0.015103682
GO:0019843	0.004629334	0.015103682
GO:0030529	0.004629334	0.015103682
GO:0032991	0.004629334	0.015103682
GO:0034645	0.004629334	0.015103682
GO:0043170	0.004629334	0.015103682
GO:0043226	0.004629334	0.015103682
GO:0043228	0.004629334	0.015103682
GO:0043229	0.004629334	0.015103682
GO:0043232	0.004629334	0.015103682
GO:0044237	0.004629334	0.015103682
GO:0044238	0.004629334	0.015103682
GO:0044249	0.004629334	0.015103682
GO:0044260	0.004629334	0.015103682
GO:0044267	0.004629334	0.015103682
GO:0044424	0.004629334	0.015103682
GO:0044444	0.004629334	0.015103682
GO:0044464	0.004629334	0.015103682
GO:0071704	0.004629334	0.015103682
GO:0097159	0.004629334	0.015103682
GO:1901363	0.004629334	0.015103682
GO:1901576	0.004629334	0.015103682
GO:0003735	0.000852813	0.010691343
GO:0003735	0.000852813	0.010691343
GO:0003676	0.000852813	0.010691343
GO:0003723	0.000852813	0.010691343
GO:0003735	0.000852813	0.010691343
GO:0005198	0.000852813	0.010691343
GO:0005488	0.000852813	0.010691343
GO:0005622	0.000852813	0.010691343
GO:0005623	0.000852813	0.010691343
GO:0005737	0.000852813	0.010691343
GO:0005840	0.000852813	0.010691343
GO:0006412	0.000852813	0.010691343
GO:0008152	0.000852813	0.010691343
GO:0009058	0.000852813	0.010691343
GO:0009059	0.000852813	0.010691343
GO:0009987	0.000852813	0.010691343
GO:0010467	0.000852813	0.010691343
GO:0019538	0.000852813	0.010691343
GO:0019843	0.000852813	0.010691343
GO:0030529	0.000852813	0.010691343
GO:0032991	0.000852813	0.010691343
GO:0034645	0.000852813	0.010691343
GO:0043170	0.000852813	0.010691343
GO:0043226	0.000852813	0.010691343
GO:0043228	0.000852813	0.010691343
GO:0043229	0.000852813	0.010691343
GO:0043232	0.000852813	0.010691343
GO:0044237	0.000852813	0.010691343
GO:0044238	0.000852813	0.010691343
GO:0044249	0.000852813	0.010691343
