id	gos
GO:0042586	GO:0042586
GO:0008662	GO:0008662
GO:2001059	GO:2001059
GO:0009024	GO:0009024
GO:0009611	GO:0009611
GO:0004084	GO:0004084
GO:0006091	GO:0006091
GO:0009374	GO:0009374
GO:0008888	GO:0008888
GO:0004564	GO:0004564
GO:0030152	GO:0030152
GO:0019512	GO:0019512
GO:0004795	GO:0004795
GO:0006749	GO:0006749
GO:0004127	GO:0004127
GO:0019388	GO:0019388
GO:0010501	GO:0010501
GO:0050044	GO:0050044
GO:0047631	GO:0047631
GO:0017057	GO:0017057
GO:0102009	GO:0102009
GO:0009025	GO:0009025
GO:0005618	GO:0005618
GO:0006220	GO:0006220
GO:0016772	GO:0016772
GO:0004867	GO:0004867
GO:0008840	GO:0008840
GO:0004362	GO:0004362
GO:0004563	GO:0004563
GO:0047473	GO:0047473
GO:0008865	GO:0008865
GO:0004300	GO:0004300
GO:0016624	GO:0016624
GO:0018492	GO:0018492
GO:0047200	GO:0047200
GO:0004105	GO:0004105
GO:0004345	GO:0004345
GO:0098794	GO:0098794
GO:0005234	GO:0005234
GO:0000921	GO:0000921
GO:0005940	GO:0005940
GO:0070181	GO:0070181
GO:0004004	GO:0004004
GO:0016592	GO:0016592
GO:0004160	GO:0004160
GO:0004736	GO:0004736
GO:0019350	GO:0019350
GO:0005990	GO:0005990
GO:0099620	GO:0099620
GO:0003863	GO:0003863
GO:0003849	GO:0003849
GO:0016726	GO:0016726
GO:0018454	GO:0018454
GO:0046417	GO:0046417
GO:0004421	GO:0004421
GO:0004715	GO:0004715
GO:0008964	GO:0008964
GO:0015658	GO:0015658
GO:0001104	GO:0001104
GO:0006449	GO:0006449
GO:0043365	GO:0043365
GO:0003713	GO:0003713
GO:0052588	GO:0052588
GO:0070395	GO:0070395
GO:0047850	GO:0047850
GO:0006282	GO:0006282
GO:0001680	GO:0001680
GO:0031554	GO:0031554
GO:0031469	GO:0031469
GO:0008967	GO:0008967
GO:0052928	GO:0052928
GO:0052929	GO:0052929
GO:0052927	GO:0052927
GO:0050093	GO:0050093
GO:0016888	GO:0016888
GO:0006557	GO:0006557
GO:0004014	GO:0004014
GO:0034227	GO:0034227
GO:0004356	GO:0004356
GO:0004075	GO:0004075
GO:0047810	GO:0047810
GO:0015977	GO:0015977
GO:0016226	GO:0016226
GO:0008379	GO:0008379
GO:0006401	GO:0006401
GO:0009423	GO:0009423
GO:0009073	GO:0009073
GO:0005971	GO:0005971
GO:0006542	GO:0006542
GO:0004069	GO:0004069
GO:0019752	GO:0019752
GO:0016884	GO:0016884
GO:0019877	GO:0019877
GO:0071424	GO:0071424
GO:0003861	GO:0003861
GO:0004012	GO:0004012
GO:0008239	GO:0008239
GO:0070475	GO:0070475
GO:0019510	GO:0019510
GO:0004013	GO:0004013
GO:0009399	GO:0009399
GO:0006228	GO:0006228
GO:0008955	GO:0008955
GO:0005985	GO:0005985
GO:0019284	GO:0019284
GO:0016075	GO:0016075
GO:0103025	GO:0103025
GO:0004556	GO:0004556
GO:0008830	GO:0008830
GO:0052795	GO:0052795
GO:0052796	GO:0052796
GO:0052794	GO:0052794
GO:0004455	GO:0004455
GO:0008649	GO:0008649
GO:0071705	GO:0071705
GO:0004550	GO:0004550
GO:0003856	GO:0003856
GO:0016783	GO:0016783
GO:0016692	GO:0016692
GO:0050270	GO:0050270
GO:0019146	GO:0019146
GO:0000721	GO:0000721
GO:0006233	GO:0006233
GO:0008832	GO:0008832
GO:0004132	GO:0004132
GO:0004592	GO:0004592
GO:0004357	GO:0004357
GO:0008825	GO:0008825
GO:0004714	GO:0004714
GO:0004459	GO:0004459
GO:0006807	GO:0006807
GO:0004812	GO:0004812
GO:0103046	GO:0103046
GO:0102008	GO:0102008
GO:0080130	GO:0080130
GO:0006107	GO:0006107
GO:0015297	GO:0015297
GO:0042895	GO:0042895
GO:0102148	GO:0102148
GO:0042256	GO:0042256
GO:0017148	GO:0017148
GO:0004810	GO:0004810
GO:0070063	GO:0070063
GO:0006534	GO:0006534
GO:0004322	GO:0004322
GO:0004151	GO:0004151
GO:0004021	GO:0004021
GO:0090071	GO:0090071
GO:0043885	GO:0043885
GO:0003984	GO:0003984
GO:0003796	GO:0003796
GO:0098609	GO:0098609
GO:0006013	GO:0006013
GO:0009094	GO:0009094
GO:0019317	GO:0019317
GO:0042744	GO:0042744
GO:0004559	GO:0004559
GO:0015643	GO:0015643
GO:0006147	GO:0006147
GO:0008892	GO:0008892
GO:0052908	GO:0052908
GO:0009099	GO:0009099
GO:0009029	GO:0009029
GO:0017061	GO:0017061
GO:0004792	GO:0004792
GO:0090614	GO:0090614
GO:0016661	GO:0016661
GO:0008793	GO:0008793
GO:0004565	GO:0004565
GO:0008295	GO:0008295
GO:0009097	GO:0009097
GO:0006461	GO:0006461
GO:0004721	GO:0004721
GO:0004350	GO:0004350
GO:0005351	GO:0005351
GO:0022877	GO:0022877
GO:0016310	GO:0016310
GO:0052587	GO:0052587
GO:0055129	GO:0055129
GO:0004354	GO:0004354
GO:0004765	GO:0004765
GO:0031176	GO:0031176
GO:0043094	GO:0043094
GO:0008973	GO:0008973
GO:0004148	GO:0004148
GO:0009229	GO:0009229
GO:0006275	GO:0006275
GO:0004385	GO:0004385
GO:0003688	GO:0003688
GO:0042126	GO:0042126
