peptide	gos
GO:0003852	GO:0003852
GO:0004410	GO:0004410
GO:0004419	GO:0004419
GO:0008701	GO:0008701
GO:0003984	GO:0003984
GO:0004197	GO:0004197
GO:0042586	GO:0042586
GO:0004564	GO:0004564
GO:0004575	GO:0004575
GO:0031219	GO:0031219
GO:0004103	GO:0004103
GO:0004105	GO:0004105
GO:0004305	GO:0004305
GO:0044689	GO:0044689
GO:0008960	GO:0008960
GO:0009024	GO:0009024
GO:0008662	GO:0008662
GO:0004665	GO:0004665
GO:0008977	GO:0008977
GO:0004664	GO:0004664
GO:0004106	GO:0004106
GO:0008964	GO:0008964
GO:0004463	GO:0004463
GO:0008908	GO:0008908
GO:0008936	GO:0008936
GO:0016803	GO:0016803
GO:0004563	GO:0004563
GO:0015929	GO:0015929
GO:0009039	GO:0009039
GO:0042973	GO:0042973
GO:0004565	GO:0004565
GO:0004127	GO:0004127
GO:0004014	GO:0004014
GO:0050253	GO:0050253
GO:0008888	GO:0008888
GO:0050492	GO:0050492
GO:0004160	GO:0004160
GO:0004456	GO:0004456
GO:0004345	GO:0004345
GO:0000773	GO:0000773
GO:0004107	GO:0004107
GO:0004421	GO:0004421
GO:0004608	GO:0004608
GO:0016434	GO:0016434
GO:0071424	GO:0071424
GO:0080101	GO:0080101
GO:0003688	GO:0003688
GO:0003973	GO:0003973
GO:0004452	GO:0004452
GO:0004460	GO:0004460
GO:0052852	GO:0052852
GO:0052853	GO:0052853
GO:0052854	GO:0052854
GO:0004795	GO:0004795
GO:0008839	GO:0008839
GO:0016838	GO:0016838
GO:0015925	GO:0015925
GO:0004789	GO:0004789
GO:0004806	GO:0004806
GO:0050053	GO:0050053
GO:0004012	GO:0004012
GO:0005319	GO:0005319
GO:0005388	GO:0005388
GO:0005548	GO:0005548
GO:0015085	GO:0015085
GO:0015444	GO:0015444
GO:0003866	GO:0003866
GO:0004190	GO:0004190
GO:0008825	GO:0008825
GO:0015577	GO:0015577
GO:0070001	GO:0070001
GO:0001871	GO:0001871
GO:0030247	GO:0030247
GO:0047850	GO:0047850
GO:0003856	GO:0003856
GO:0016415	GO:0016415
GO:0016979	GO:0016979
GO:0003855	GO:0003855
GO:0008413	GO:0008413
GO:0008422	GO:0008422
GO:0004045	GO:0004045
GO:0003849	GO:0003849
GO:0008840	GO:0008840
GO:0016843	GO:0016843
GO:0004560	GO:0004560
GO:0015298	GO:0015298
GO:0015299	GO:0015299
GO:0015928	GO:0015928
GO:0047605	GO:0047605
GO:0016801	GO:0016801
GO:0004356	GO:0004356
GO:0008234	GO:0008234
GO:0003861	GO:0003861
GO:0003934	GO:0003934
GO:0004551	GO:0004551
GO:0005372	GO:0005372
GO:0015250	GO:0015250
GO:0015926	GO:0015926
GO:0009982	GO:0009982
GO:0004764	GO:0004764
GO:0004765	GO:0004765
GO:0004455	GO:0004455
GO:0004316	GO:0004316
GO:0001727	GO:0001727
GO:0004143	GO:0004143
GO:0008796	GO:0008796
GO:0008803	GO:0008803
GO:0015095	GO:0015095
GO:0004550	GO:0004550
GO:0004320	GO:0004320
GO:0004650	GO:0004650
GO:0005249	GO:0005249
GO:0005261	GO:0005261
GO:0005267	GO:0005267
GO:0008706	GO:0008706
GO:0015220	GO:0015220
GO:0015418	GO:0015418
GO:0016295	GO:0016295
GO:0016296	GO:0016296
GO:0016297	GO:0016297
GO:0022843	GO:0022843
GO:0004854	GO:0004854
GO:0004721	GO:0004721
GO:0004556	GO:0004556
GO:0004722	GO:0004722
GO:0016160	GO:0016160
GO:0004146	GO:0004146
GO:0043364	GO:0043364
GO:0043365	GO:0043365
GO:0008379	GO:0008379
GO:0004558	GO:0004558
GO:0003863	GO:0003863
GO:0008484	GO:0008484
GO:0004350	GO:0004350
GO:0019207	GO:0019207
GO:0019887	GO:0019887
GO:0008830	GO:0008830
GO:0008113	GO:0008113
GO:0008972	GO:0008972
GO:0015415	GO:0015415
GO:0016671	GO:0016671
GO:0033743	GO:0033743
GO:0046316	GO:0046316
GO:0032440	GO:0032440
GO:0016211	GO:0016211
GO:0004013	GO:0004013
GO:0016802	GO:0016802
GO:0016780	GO:0016780
GO:0003689	GO:0003689
GO:0004400	GO:0004400
GO:0004413	GO:0004413
GO:0004592	GO:0004592
GO:0009032	GO:0009032
