peptide	countNS	countWS
GO:0006656	0	34
GO:0006657	0	34
GO:0003852	0	30
GO:0004410	0	30
GO:0004419	0	30
GO:0008701	0	30
GO:0003984	2.80967804397191	111
GO:0004197	1.87311869598127	78
GO:0042586	0.936559347990635	46
GO:0004564	0	20
GO:0004575	0	20
GO:0031219	0	20
GO:0046470	0.936559347990635	34
GO:0004103	0	17
GO:0004105	0	17
GO:0004305	0	17
GO:0044689	0	17
GO:0008960	0	16
GO:0019627	0	15
GO:0009024	3.74623739196254	68
GO:0019512	3.74623739196254	68
GO:0008662	0.936559347990635	27
GO:0004665	0	13
GO:0006571	0	13
GO:0008977	0	13
GO:0004664	0	12
GO:0004106	0.936559347990635	24
GO:0006107	2.80967804397191	46
GO:0008964	2.80967804397191	46
GO:0000921	4.68279673995318	68
GO:0005940	4.68279673995318	68
GO:0031106	4.68279673995318	68
GO:0032156	4.68279673995318	68
GO:0032185	4.68279673995318	68
GO:0004463	0	11
GO:0008908	0	11
GO:0008936	0	11
GO:0016803	0	11
GO:0048046	0	11
GO:0004563	1.87311869598127	32
GO:0015929	1.87311869598127	32
GO:2001058	2.80967804397191	41
GO:2001059	2.80967804397191	41
GO:0006955	0	10
GO:0006970	0	10
GO:0009039	0	10
GO:0009409	0	10
GO:0009620	0	10
GO:0009651	0	10
GO:0009814	0	10
GO:0009817	0	10
GO:0042973	0	10
GO:0043419	0	10
GO:0045087	0	10
GO:0050832	0	10
GO:0004565	0.936559347990635	20
GO:0009341	0.936559347990635	20
GO:0004127	1.87311869598127	30
GO:0005938	5.61935608794381	70
GO:0044448	5.61935608794381	68
GO:0004014	0	9
GO:0006557	0	9
GO:0046499	0	9
GO:0050253	0	9
GO:0008888	1.87311869598127	27
GO:0050492	1.87311869598127	27
GO:0004160	10.302152827897	107
GO:0004456	10.302152827897	107
GO:0009255	10.302152827897	107
GO:0004345	2.80967804397191	35
GO:0000773	0	8
GO:0004107	0	8
GO:0004421	0	8
GO:0004608	0	8
GO:0016434	0	8
GO:0071424	0	8
GO:0080101	0	8
GO:0003688	0.936559347990635	16
GO:0003973	0.936559347990635	16
GO:0004452	0.936559347990635	16
GO:0004460	0.936559347990635	16
GO:0006270	0.936559347990635	16
GO:0008156	0.936559347990635	16
GO:0018131	0.936559347990635	16
GO:0030174	0.936559347990635	16
GO:0032297	0.936559347990635	16
GO:0046484	0.936559347990635	16
GO:0051053	0.936559347990635	16
GO:0052837	0.936559347990635	16
GO:0052838	0.936559347990635	16
GO:0052852	0.936559347990635	16
GO:0052853	0.936559347990635	16
GO:0052854	0.936559347990635	16
GO:2000104	0.936559347990635	16
GO:0004795	3.74623739196254	39
