peptide	gos.1
GO:0047112	GO:0047112
GO:0016623	GO:0016623
GO:0004867	GO:0004867
GO:0009611	GO:0009611
GO:1902011	GO:1902011
GO:1902012	GO:1902012
GO:0008730	GO:0008730
GO:0050256	GO:0050256
GO:0008886	GO:0008886
GO:0005518	GO:0005518
GO:0008866	GO:0008866
GO:0004415	GO:0004415
GO:0046912	GO:0046912
GO:0000098	GO:0000098
GO:0043418	GO:0043418
GO:0050667	GO:0050667
GO:0008662	GO:0008662
GO:0003852	GO:0003852
GO:0003968	GO:0003968
GO:0001172	GO:0001172
GO:0008900	GO:0008900
GO:0043885	GO:0043885
GO:0018492	GO:0018492
GO:0004564	GO:0004564
GO:0004575	GO:0004575
GO:0017057	GO:0017057
GO:0005231	GO:0005231
GO:0005234	GO:0005234
GO:0042586	GO:0042586
GO:0042391	GO:0042391
GO:0060078	GO:0060078
GO:0060079	GO:0060079
GO:0008888	GO:0008888
GO:0050040	GO:0050040
GO:0006141	GO:0006141
GO:0045982	GO:0045982
GO:0009024	GO:0009024
GO:2001058	GO:2001058
GO:2001059	GO:2001059
GO:0005988	GO:0005988
GO:0036355	GO:0036355
GO:0008788	GO:0008788
GO:0003856	GO:0003856
GO:0000967	GO:0000967
GO:0000966	GO:0000966
GO:0034471	GO:0034471
GO:0008963	GO:0008963
GO:0051992	GO:0051992
GO:0005984	GO:0005984
GO:0015159	GO:0015159
GO:0009018	GO:0009018
GO:0015444	GO:0015444
GO:0015774	GO:0015774
GO:0005985	GO:0005985
GO:0047849	GO:0047849
GO:0046374	GO:0046374
GO:0019350	GO:0019350
GO:0015160	GO:0015160
GO:0043896	GO:0043896
GO:0015441	GO:0015441
GO:0003863	GO:0003863
GO:0015775	GO:0015775
GO:0034026	GO:0034026
GO:0003861	GO:0003861
GO:0009636	GO:0009636
GO:0044448	GO:0044448
GO:0005856	GO:0005856
GO:0032156	GO:0032156
GO:0005940	GO:0005940
GO:0000921	GO:0000921
GO:0031106	GO:0031106
GO:0032185	GO:0032185
