peptide	countNS	countWS
GO:0047849	0	104
GO:0047112	0	69
GO:0016623	0	69
GO:0008886	0	64
GO:0047100	0	64
GO:0016856	0	47
GO:0050043	0	47
GO:0046912	0	42
GO:0010383	0	40
GO:0008662	0	36
GO:0003852	0	34
GO:0004415	0	33
GO:0043885	0	29
GO:0018492	0	29
GO:0004197	2	88
GO:0010410	0	27
GO:0004564	0	25
GO:0042586	1	49
GO:0050040	0	22
GO:0045982	0	21
GO:0006141	0	21
GO:0010411	0	20
GO:0085030	0	20
GO:2000899	0	20
GO:2000895	0	20
GO:0036355	0	18
GO:0004362	1	37
GO:0002937	0	16
GO:0052838	0	16
GO:0052837	0	16
GO:1990002	0	16
GO:0018455	0	16
GO:0003856	0	16
GO:0051775	0	15
GO:0009018	0	15
GO:0006743	0	14
GO:0006744	0	14
GO:0043896	0	14
GO:0120159	1	29
GO:0008239	0	14
GO:0003826	0	14
GO:0003863	0	14
GO:0005988	4	70
GO:0042867	0	13
GO:0008840	2	41
GO:0102955	0	13
GO:0008425	0	13
GO:0008893	0	13
GO:0016838	1	27
GO:0047513	0	13
GO:0047297	1	27
GO:0052737	0	13
GO:0030580	0	13
GO:0043333	0	13
GO:0016794	0	13
GO:0009313	4	68
GO:0031250	2	40
GO:0032564	2	40
GO:0032567	2	40
GO:0032560	2	40
GO:0032554	2	40
GO:0032552	2	40
GO:0032558	2	40
GO:0032556	2	40
GO:0051065	2	40
GO:0015929	2	39
GO:0032185	4	65
GO:0000921	4	65
GO:0031106	4	65
GO:0044448	4	65
GO:0032156	4	65
GO:0005940	4	65
GO:0015697	0	12
GO:0031460	0	12
GO:0015838	0	12
GO:0070039	0	12
GO:0004146	0	12
GO:0008743	1	25
GO:0003862	0	12
GO:0004712	0	12
GO:0046352	4	63
GO:0015038	2	37
GO:0015037	2	37
GO:0005990	4	60
GO:0019512	4	60
GO:0043605	0	11
GO:0047482	0	11
GO:0009374	10	130
GO:0050792	10	129
GO:0019072	10	129
GO:0019074	10	129
GO:1903727	10	129
GO:1903725	10	129
GO:0048524	10	129
GO:0051851	10	129
GO:0044794	10	129
GO:0044788	10	129
GO:0044789	10	129
GO:0044791	10	129
GO:1902186	10	129
GO:1902188	10	129
GO:0045834	10	129
GO:0051702	10	129
GO:0071073	10	129
GO:0071071	10	129
GO:0046889	10	129
GO:1903902	10	129
GO:1903900	10	129
GO:2001058	3	45
GO:2001059	3	45
GO:0009024	3	45
GO:0008964	4	56
GO:0009025	3	44
GO:1903457	4	55
GO:0000455	2	32
GO:0043419	0	10
GO:0045151	0	10
GO:0031118	2	32
GO:1902653	0	10
GO:0006059	0	10
GO:0009039	0	10
GO:0016784	0	10
GO:0003861	0	10
GO:0005388	1	20
GO:0015085	1	20
GO:0051063	5	61
GO:0002229	0	9
GO:0046499	0	9
GO:0071461	0	9
GO:0006557	0	9
GO:0019249	0	9
GO:0031225	0	9
GO:0004014	0	9
GO:0015926	1	19
GO:0004107	0	9
GO:0019172	0	9
GO:0017057	0	9
GO:0015977	5	57
GO:0008888	2	28
GO:0004127	2	28
GO:0009982	3	37
GO:0004458	5	55
GO:0016898	5	55
GO:0003984	2	27
GO:0006636	7	73
GO:0033559	7	73
GO:0102009	7	73
GO:0047473	3	36
GO:0048473	0	8
GO:0033362	0	8
GO:0009276	0	8
GO:0004421	0	8
GO:0010285	0	8
GO:0015658	3	35
GO:0015418	0	8
GO:0070394	7	68
GO:0070395	7	68
GO:0003688	1	16
GO:0008553	1	16
GO:0046374	10	90
GO:0019350	10	90
GO:0006178	4	40
GO:0046099	4	40
GO:0006692	5	47
GO:0006690	5	47
GO:0006693	5	47
GO:0051347	0	7
GO:0045491	0	7
GO:0032147	0	7
GO:2000379	0	7
GO:0001516	5	47
GO:0046457	5	47
GO:0046456	5	47
GO:0015968	0	7
GO:1901568	5	47
GO:1901570	5	47
GO:0045860	0	7
GO:0015716	0	7
GO:0033674	0	7
GO:0015823	2	23
GO:0015801	2	23
GO:1904724	0	7
GO:0048028	0	7
GO:0005304	2	23
GO:0016436	0	7
GO:0048474	0	7
GO:2001062	0	7
GO:0015188	2	23
GO:0030248	0	7
GO:0070041	0	7
GO:0061595	2	23
GO:0004525	0	7
GO:0050044	1	15
GO:0042943	0	7
GO:0043865	0	7
GO:0032296	0	7
GO:0071424	0	7
GO:0006270	2	22
GO:1990663	2	22
GO:0015925	2	22
GO:0004160	12	98
GO:0004345	4	37
GO:0098713	1	14
GO:0009249	1	14
GO:0010942	1	14
GO:0015820	1	14
GO:0005315	1	14
GO:0008865	5	44
GO:0008839	9	74
GO:0015192	1	14
GO:0015190	1	14
GO:0015173	1	14
GO:0016979	1	14
GO:0017118	1	14
GO:0045290	5	44
GO:0055129	1	13
GO:1902011	1	13
GO:1902012	1	13
GO:0046098	7	55
GO:0004592	2	20
GO:0004565	2	20
GO:0043365	1	13
GO:0043364	1	13
GO:0004033	8	60
GO:0004300	3	26
GO:0043225	2	19
GO:0046527	17	117
GO:0035527	1	12
GO:0015415	1	12
GO:0002239	8	56
GO:0033317	2	18
GO:0008830	2	18
GO:0004476	2	18
GO:0015928	2	18
GO:0004560	2	18
GO:0008234	17	112
GO:0015940	3	24
GO:0003849	7	48
GO:0009423	17	109
GO:0047850	8	54
GO:1902776	3	23
GO:1902777	3	23
GO:0016435	3	23
GO:0004045	1	11
GO:0047200	3	23
GO:0071268	6	40
GO:0071269	6	40
GO:0032263	6	40
GO:0003961	6	40
GO:0047810	3	22
GO:0007010	11	66
GO:0050053	1	10
GO:0047349	1	10
GO:0006749	6	37
GO:0006116	56	307
GO:0001216	10	58
GO:0006542	28	154
GO:0018212	2	15
GO:0018108	2	15
GO:0035435	2	15
GO:0008484	2	15
GO:0004713	2	15
GO:0006797	9	52
GO:0006816	3	20
GO:0070588	3	20
GO:0004354	23	123
GO:0004356	29	154
GO:0006798	9	50
GO:0004309	9	50
GO:0006791	2	14
GO:0018205	2	14
GO:0000154	20	104
GO:0043068	1	9
GO:0043065	1	9
GO:0016891	2	14
GO:0003951	2	14
GO:0090614	1	9
GO:0009029	1	9
GO:0004350	1	9
GO:0033739	1	9
GO:0050270	1	9
GO:0019662	5	28
GO:0019588	5	28
GO:0043937	12	61
GO:0001522	7	37
GO:0042173	11	56
GO:0034227	10	51
GO:0045881	10	51
GO:0043938	10	51
GO:0004455	42	200
GO:0006449	5	27
GO:0005773	14	69
GO:0004721	5	27
GO:0004810	4	22
GO:0004652	4	22
GO:1990817	4	22
GO:0030428	15	72
GO:0009146	5	26
GO:0016657	5	26
GO:0008171	3	17
GO:0008356	9	43
GO:0070297	9	43
GO:0016618	2	12
GO:0004722	5	25
GO:0004724	5	25
GO:0004013	6	29
GO:0016801	6	29
GO:0016802	6	29
GO:0043903	33	144
GO:0015811	3	16
GO:0015184	3	16
GO:0008106	3	16
GO:0045149	24	105
GO:1902652	24	105
GO:0015410	8	37
GO:0046417	28	121
GO:0004021	9	41
GO:0047635	9	41
GO:0009099	94	395
GO:0004834	5	24
GO:0016150	5	24
GO:0015627	21	90
GO:0070475	8	36
GO:0004459	54	224
GO:0009085	66	272
GO:0046451	66	270
GO:0009089	66	270
GO:0098776	22	91
GO:0046618	16	67
GO:0000453	3	15
GO:0000451	3	15
GO:0046710	4	19
GO:0015628	22	91
GO:0030908	5	23
GO:0006147	3	15
GO:0009254	5	23
GO:0016539	5	23
GO:0046890	32	131
GO:0019216	32	131
GO:0045597	12	51
GO:0051596	4	19
GO:0061727	4	19
GO:0070111	5	23
GO:0043659	5	23
GO:0043660	5	23
GO:1990195	16	67
GO:0016863	9	39
GO:0008892	3	15
GO:0009378	3	15
GO:0034017	9	39
GO:0004385	4	19
GO:0004715	2	11
GO:0042182	28	114
GO:0019877	64	256
GO:0006573	104	414
GO:0051919	67	267
GO:0051917	67	267
GO:0031167	18	72
GO:0045150	24	95
GO:0016433	5	22
GO:0140102	18	71
GO:0008649	18	71
GO:0016730	8	33
GO:0052908	3	14
GO:0000179	3	14
GO:0008988	3	14
GO:0050605	11	44
GO:0015662	22	84
GO:0030115	53	198
GO:0004324	8	32
GO:0016731	8	32
GO:0016211	49	181
GO:0043602	14	53
GO:0002143	9	35
GO:0071249	14	53
GO:0010167	14	53
GO:0044799	14	53
GO:0004396	28	100
GO:0071421	10	37
GO:0006828	10	37
GO:0005384	10	37
GO:0004765	6	23
GO:0031163	56	194
GO:0016226	56	194
GO:0003724	16	57
GO:0046484	4	16
GO:0018131	4	16
GO:0031235	15	53
GO:0008169	19	66
GO:0042256	5	19
GO:0090071	5	19
GO:0090069	5	19
GO:0070063	19	65
GO:0018202	6	22
GO:0018106	6	22
GO:0008932	6	22
GO:0019825	18	61
GO:0016880	63	207
GO:0036294	16	54
GO:0004457	86	279
GO:0044432	18	60
GO:0015114	4	15
GO:0035434	15	50
GO:0005375	15	50
GO:1902584	10	34
GO:2000070	10	34
GO:1901002	10	34
GO:0006734	232	737
GO:0019568	17	56
GO:0019571	17	56
GO:0046372	17	56
GO:0009082	181	575
GO:0004412	18	59
GO:0032102	86	273
GO:0009081	194	613
GO:0009098	42	134
GO:1903034	86	272
GO:1903035	86	272
GO:0050818	86	272
GO:0050819	86	272
GO:0030193	86	272
GO:0030195	86	272
GO:0061045	86	272
GO:0061041	86	272
GO:1900047	86	272
GO:1900046	86	272
GO:0006107	61	193
GO:0043682	15	49
GO:0004553	88	275
GO:0006397	39	123
GO:0006269	13	42
GO:0004534	35	109
GO:0006551	45	139
GO:1901678	22	69
GO:0031263	22	69
GO:0015424	22	69
GO:0005275	22	69
GO:0033283	22	69
GO:0033284	22	69
GO:0043687	18	56
GO:0005788	18	56
GO:1990196	15	47
GO:1990077	13	41
GO:0016893	10	32
GO:0004152	8	26
GO:0052873	4	14
GO:0004766	6	20
GO:0032101	92	275
GO:0050795	18	55
GO:0048520	18	55
GO:0045188	18	55
GO:0045187	18	55
GO:0051640	18	55
GO:0051646	18	55
GO:0051659	18	55
GO:0051657	18	55
GO:0042749	18	55
GO:0042752	18	55
GO:0042753	18	55
GO:0032460	18	55
GO:0032459	18	55
GO:0045938	18	55
GO:0034375	18	55
GO:0034369	18	55
GO:0034368	18	55
GO:0034367	18	55
GO:0071827	18	55
GO:0071825	18	55
GO:0046010	18	55
GO:0070541	18	55
GO:0002576	18	55
GO:0043062	18	55
GO:0005604	18	55
GO:0031093	18	55
GO:0015643	18	55
GO:0008973	35	105
GO:0019202	14	43
GO:0051060	13	40
GO:0006549	177	517
GO:0009097	177	517
GO:0042180	54	159
GO:0006168	20	60
GO:0018065	8	25
GO:0019674	283	817
GO:0042274	15	45
GO:0044440	7	22
GO:0052588	20	59
GO:0019152	20	59
GO:0051241	100	287
GO:0043902	46	133
GO:0019566	19	56
GO:0048500	18	53
GO:0004645	56	159
GO:0042357	13	38
GO:0009229	13	38
GO:0015688	22	63
GO:0015891	22	63
GO:0032993	40	113
GO:0008730	101	281
GO:0003883	24	68
GO:0006183	53	148
GO:0046039	53	148
GO:0004556	14	40
GO:0004139	14	40
GO:0033926	14	40
GO:0016160	14	40
GO:0140103	14	40
GO:0050110	14	40
GO:0045595	25	70
GO:0016862	50	138
GO:0050163	50	138
GO:2001065	640	1742
GO:0006735	159	434
GO:0023014	13	37
GO:0006612	33	91
GO:0006613	33	91
GO:0006614	33	91
GO:0070972	33	91
GO:0072599	33	91
GO:0045047	33	91
GO:0030247	660	1786
GO:0001871	660	1786
GO:0005985	9	26
GO:0016758	148	399
GO:0006470	23	63
GO:0006011	17	47
GO:0003983	17	47
GO:0051748	17	47
GO:0042930	22	60
GO:0019740	20	54
GO:0051094	20	54
GO:0019692	46	122
GO:0051266	12	33
GO:0103025	14	38
GO:0000105	6	17
GO:0007059	43	112
GO:0015803	52	135
GO:0045227	38	99
GO:0045230	38	99
GO:0031333	24	63
GO:0016775	73	188
GO:0043115	12	32
GO:0004852	12	32
GO:0004851	12	32
GO:0090729	38	98
GO:0005351	16	42
GO:0005402	16	42
GO:0015295	16	42
GO:0008965	60	153
GO:0009394	32	82
GO:0044718	7	19
GO:0006545	45	114
GO:0004055	11	29
GO:0000155	13	34
GO:0004673	13	34
GO:0015343	7	19
GO:0047485	17	44
GO:0051101	113	283
GO:0051098	113	283
GO:2000677	113	283
GO:0043388	112	280
GO:0051099	112	280
GO:2000679	112	280
GO:0043236	273	680
