peptide	countNS	countWS
GO:0008666	0.000213943	0.001731472
GO:0016748	0.000213943	0.001731472
GO:0016749	0.000213943	0.001731472
GO:0047200	0.000213943	0.001731472
GO:0008080	0.000331982	0.002238298
GO:0016410	0.000331982	0.002238298
GO:0004356	0.000120937	0.000783443
GO:0016211	0.000120937	0.000783443
GO:0016880	0.000120937	0.000783443
GO:0004332	0.000366726	0.001748225
GO:0009025	0.000366726	0.001748225
GO:0004813	0.0001278	0.000606992
GO:0004457	0.000499261	0.002331194
GO:0004459	0.000499261	0.002331194
GO:0004222	8.63e-05	0.000393011
GO:0010181	0.000429913	0.001894891
GO:0004455	0.000302048	0.00131984
GO:0004736	0.000575837	0.002483915
GO:0003977	0.000118039	0.000506826
GO:0019134	0.000118039	0.000506826
GO:0070567	0.000118039	0.000506826
GO:0016867	0.000215379	0.000881618
GO:0016993	0.000215379	0.000881618
GO:0030060	0.001876255	0.00736756
GO:0050567	0.000107124	0.00040789
GO:0047559	0.001376994	0.005036366
GO:0003954	0.000132611	0.000483712
GO:0008137	0.000132611	0.000483712
GO:0016655	0.000132611	0.000483712
GO:0050136	0.000132611	0.000483712
GO:0016884	0.000205324	0.000741504
GO:0003938	0.00055747	0.002003949
GO:0043807	7.95e-05	0.000272047
GO:0003922	9.82e-05	0.000333614
GO:0004066	9.82e-05	0.000333614
GO:0008973	0.000265107	0.000886512
GO:0008998	0.000904919	0.002890581
GO:0019164	0.0001782	0.000561341
GO:0016615	0.003124174	0.009747042
GO:0004748	0.001054519	0.003156402
GO:0016728	0.001054519	0.003156402
GO:0004018	0.000117261	0.000348352
GO:0016842	0.000117261	0.000348352
GO:0016872	0.000117261	0.000348352
GO:0047472	0.000117261	0.000348352
GO:0070626	0.000117261	0.000348352
GO:0016868	0.000484259	0.001424683
GO:0004175	0.000605233	0.001767073
GO:0003916	6.62e-05	0.000189595
GO:0003918	6.62e-05	0.000189595
GO:0061505	6.62e-05	0.000189595
GO:0004645	0.000205226	0.000587457
GO:0017061	0.000205226	0.000587457
GO:0005542	0.000181203	0.000518691
GO:0030407	0.000181203	0.000518691
GO:0030409	0.000181203	0.000518691
GO:0030412	0.000181203	0.000518691
GO:0072341	0.000181203	0.000518691
GO:0004017	0.000823018	0.002306846
GO:0016776	0.000823018	0.002306846
GO:0019205	0.000823018	0.002306846
GO:0000104	0.000705115	0.001963191
GO:0008177	0.000705115	0.001963191
GO:0016635	0.000705115	0.001963191
GO:0008839	0.000201372	0.000550894
GO:0016639	0.000201372	0.000550894
GO:0047850	0.000201372	0.000550894
GO:0003920	0.000806183	0.002158237
GO:0016657	0.000806183	0.002158237
