id	name	namespace	NS_mean	WS_mean	countNS	countWS	countNS_n_peptide	countWS_n_peptide	countNS_n_samp_children	countWS_n_samp_children
GO:0000010	trans-hexaprenyltranstransferase activity	molecular_function	NA	1.0	NA	1.0	NA	1.0	NA	NA
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	NA	1.0	NA	1.0	NA	1.0	NA	NA
GO:0000036	acyl carrier activity	molecular_function	5.520152167442986	3.584962500721156	5.520152167442986	3.584962500721156	1.0	1.0	NA	NA
GO:0000049	tRNA binding	molecular_function	6.6333627778909765	6.507794640198696	6.6333627778909765	6.507794640198696	1.0	1.0	NA	NA
GO:0000064	L-ornithine transmembrane transporter activity	molecular_function	2.4904048240489356	1.0	2.4904048240489356	1.0	2.0	2.0	1.0	1.0
GO:0000099	sulfur amino acid transmembrane transporter activity	molecular_function	1.4904048240489343	4.392317422778761	1.4904048240489343	4.392317422778761	3.0	3.0	1.0	1.0
GO:0000104	succinate dehydrogenase activity	molecular_function	6.055189442832461	3.700439718141092	6.055189442832461	3.700439718141092	1.0	2.0	NA	1.0
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	NA	1.0	NA	1.0	NA	1.0	NA	NA
GO:0000146	microfilament motor activity	molecular_function	NA	1.584962500721156	NA	1.584962500721156	NA	2.0	NA	1.0
GO:0000155	phosphorelay sensor kinase activity	molecular_function	0.9054423233277781	1.0	0.9054423233277781	1.0	1.0	1.0	NA	NA
GO:0000156	phosphorelay response regulator activity	molecular_function	3.8123329189362942	2.321928094887362	3.8123329189362942	2.321928094887362	1.0	1.0	NA	NA
GO:0000166	nucleotide binding	molecular_function	13.514621061469757	14.100087380115399	13.514621061469757	14.100087380115399	31.0	29.0	7.0	7.0
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	7.25417047755886	6.459431618637297	7.25417047755886	6.459431618637297	1.0	1.0	NA	NA
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	1.490404824048937	3.4594316186372973	1.490404824048937	3.4594316186372973	1.0	1.0	NA	NA
GO:0000210	NAD+ diphosphatase activity	molecular_function	NA	NA	NA	0.0	NA	1.0	NA	NA
GO:0000217	DNA secondary structure binding	molecular_function	5.114895688956729	3.584962500721156	5.114895688956729	3.584962500721156	2.0	2.0	1.0	1.0
GO:0000268	peroxisome targeting sequence binding	molecular_function	3.4904048240489343	NA	3.4904048240489343	NA	2.0	NA	1.0	NA
GO:0000286	alanine dehydrogenase activity	molecular_function	5.9054423233277795	6.357552004618084	5.9054423233277795	6.357552004618084	1.0	1.0	NA	NA
GO:0000287	magnesium ion binding	molecular_function	9.892706335400318	10.339850002884624	9.892706335400318	10.339850002884624	1.0	1.0	NA	NA
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	molecular_function	-0.09455767667222192	NA	-0.09455767667222192	NA	1.0	NA	NA	NA
GO:0000310	xanthine phosphoribosyltransferase activity	molecular_function	1.9054423233277782	NA	1.9054423233277782	NA	1.0	NA	NA	NA
GO:0000400	four-way junction DNA binding	molecular_function	4.075367324770088	2.584962500721156	4.075367324770088	2.584962500721156	1.0	1.0	NA	NA
GO:0000496	nucleic acid binding	molecular_function	1.490404824048937	NA	1.490404824048937	NA	1.0	NA	6.0	NA
GO:0000498	RNA binding	molecular_function	1.490404824048937	NA	1.490404824048937	NA	1.0	NA	10.0	NA
GO:0000702	oxidized base lesion DNA N-glycosylase activity	molecular_function	1.4904048240489343	2.584962500721156	1.4904048240489343	2.584962500721156	3.0	6.0	2.0	2.0
GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	molecular_function	-0.09455767667222192	1.584962500721156	-0.09455767667222192	1.584962500721156	1.0	3.0	NA	2.0
GO:0000721	(R,R)-butanediol dehydrogenase activity	molecular_function	3.2273704182151404	3.169925001442312	3.2273704182151404	3.169925001442312	1.0	1.0	NA	NA
GO:0000900	translation repressor activity, mRNA regulatory element binding	molecular_function	6.763423318455355	6.614709844115208	6.763423318455355	6.614709844115208	1.0	1.0	NA	NA
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	molecular_function	5.153369836771362	2.807354922057604	5.153369836771362	2.807354922057604	1.0	1.0	NA	NA
GO:0000944	rRNA binding	molecular_function	1.490404824048937	NA	1.490404824048937	NA	1.0	NA	3.0	NA
GO:0000976	transcription regulatory region sequence-specific DNA binding	molecular_function	6.364873941965078	2.584962500721156	6.364873941965078	2.584962500721156	4.0	5.0	2.0	3.0
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	molecular_function	NA	1.0	NA	1.0	NA	2.0	NA	1.0
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	molecular_function	NA	NA	NA	0.0	NA	1.0	NA	NA
GO:0000984	bacterial-type RNA polymerase regulatory region sequence-specific DNA binding	molecular_function	5.364873941965078	NA	5.364873941965078	NA	2.0	NA	1.0	NA
GO:0000986	bacterial-type cis-regulatory region sequence-specific DNA binding	molecular_function	4.364873941965078	NA	4.364873941965078	NA	1.0	NA	NA	NA
GO:0000987	cis-regulatory region sequence-specific DNA binding	molecular_function	5.364873941965078	1.0	5.364873941965078	1.0	2.0	2.0	1.0	1.0
GO:0001012	RNA polymerase II regulatory region DNA binding	molecular_function	NA	2.0	NA	2.0	NA	3.0	NA	1.0
GO:0001017	bacterial-type RNA polymerase regulatory region DNA binding	molecular_function	5.949836442686234	NA	5.949836442686234	NA	3.0	NA	1.0	NA
GO:0001046	core promoter sequence-specific DNA binding	molecular_function	NA	NA	NA	0.0	NA	1.0	NA	NA
GO:0001047	core promoter binding	molecular_function	NA	1.0	NA	1.0	NA	2.0	NA	1.0
GO:0001067	regulatory region nucleic acid binding	molecular_function	7.209223071504882	3.9068905956085187	7.209223071504882	3.9068905956085187	7.0	9.0	1.0	1.0
GO:0001073	transcription antitermination factor activity, DNA binding	molecular_function	5.6058820414688695	NA	5.6058820414688695	0.0	1.0	1.0	NA	NA
GO:0001098	basal transcription machinery binding	molecular_function	4.364873941965078	6.727920454563199	4.364873941965078	6.727920454563199	2.0	2.0	1.0	1.0
