id	name	namespace	NS_mean	WS_mean	countNS	countWS	countNS_n_peptide	countWS_n_peptide	countNS_n_samp_children	countWS_n_samp_children
GO:0000003	reproduction	biological_process	9.960724758828967	10.210671343785624	9.960724758828967	10.210671343785624	7.0	9.0	4.0	4.0
GO:0000018	regulation of DNA recombination	biological_process	6.490404824048934	5.044394119358453	6.490404824048934	5.044394119358453	4.0	4.0	2.0	2.0
GO:0000041	transition metal ion transport	biological_process	6.563653806079572	4.087462841250339	6.563653806079572	4.087462841250339	10.0	9.0	3.0	4.0
GO:0000075	cell cycle checkpoint	biological_process	4.8596386337146535	4.857980995127573	4.8596386337146535	4.857980995127573	8.0	8.0	2.0	2.0
GO:0000096	sulfur amino acid metabolic process	biological_process	7.7696284679820575	7.257387842692652	7.7696284679820575	7.257387842692652	12.0	13.0	4.0	5.0
GO:0000097	sulfur amino acid biosynthetic process	biological_process	6.90544232332778	6.339850002884624	6.90544232332778	6.339850002884624	8.0	7.0	2.0	2.0
GO:0000099	sulfur amino acid transmembrane transporter activity	molecular_function	1.4904048240489345	4.392317422778762	1.4904048240489345	4.392317422778762	3.0	3.0	1.0	1.0
GO:0000101	sulfur amino acid transport	biological_process	1.4904048240489345	4.392317422778762	1.4904048240489345	4.392317422778762	3.0	3.0	1.0	1.0
GO:0000123	histone acetyltransferase complex	cellular_component	2.9054423233277786	3.584962500721156	2.9054423233277786	3.584962500721156	4.0	7.0	1.0	2.0
GO:0000154	rRNA modification	biological_process	5.3972954196574525	7.434628227636725	5.3972954196574525	7.434628227636725	7.0	8.0	2.0	2.0
GO:0000166	nucleotide binding	molecular_function	13.514621061469756	14.100087380115399	13.514621061469756	14.100087380115399	31.0	29.0	7.0	7.0
GO:0000212	meiotic spindle organization	biological_process	2.4904048240489343	3.169925001442312	2.4904048240489343	3.169925001442312	3.0	3.0	1.0	1.0
GO:0000226	microtubule cytoskeleton organization	biological_process	5.686802036852439	5.7004397181410935	5.686802036852439	5.7004397181410935	14.0	16.0	6.0	5.0
GO:0000255	allantoin metabolic process	biological_process	3.6058820414688704	1.584962500721156	3.6058820414688704	1.584962500721156	3.0	3.0	1.0	1.0
GO:0000271	polysaccharide biosynthetic process	biological_process	9.276129730134997	9.753216749178957	9.276129730134997	9.753216749178957	8.0	8.0	1.0	1.0
GO:0000272	polysaccharide catabolic process	biological_process	7.626541512034964	5.977279923499918	7.626541512034964	5.977279923499918	5.0	5.0	2.0	2.0
