id	name	namespace	NS_mean	WS_mean	countNS	countWS	countNS_n_peptide	countWS_n_peptide	countNS_n_samp_children	countWS_n_samp_children
GO:0000001	mitochondrion inheritance	biological_process	1.490404824048937	NA	1.490404824048937	0.0	1.0	1.0	NA	NA
GO:0000002	mitochondrial genome maintenance	biological_process	6.013966780105947	5.523561956057013	6.013966780105947	5.523561956057013	1.0	1.0	NA	NA
GO:0000003	reproduction	biological_process	9.960724758828967	10.210671343785622	9.960724758828967	10.210671343785622	7.0	9.0	4.0	4.0
GO:0000010	trans-hexaprenyltranstransferase activity	molecular_function	NA	1.0	NA	1.0	NA	1.0	NA	NA
GO:0000011	vacuole inheritance	biological_process	1.490404824048937	1.0	1.490404824048937	1.0	1.0	1.0	NA	NA
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	NA	1.0	NA	1.0	NA	1.0	NA	NA
GO:0000015	phosphopyruvate hydratase complex	cellular_component	3.8123329189362942	NA	3.8123329189362942	NA	1.0	NA	NA	NA
GO:0000018	regulation of DNA recombination	biological_process	6.490404824048935	5.044394119358453	6.490404824048935	5.044394119358453	4.0	4.0	2.0	2.0
GO:0000023	maltose metabolic process	biological_process	2.905442323327778	3.584962500721156	2.905442323327778	3.584962500721156	2.0	2.0	1.0	1.0
GO:0000025	maltose catabolic process	biological_process	1.9054423233277782	2.584962500721156	1.9054423233277782	2.584962500721156	1.0	1.0	NA	NA
GO:0000027	ribosomal large subunit assembly	biological_process	6.7509323742721525	6.9886846867721655	6.7509323742721525	6.9886846867721655	1.0	1.0	NA	NA
GO:0000028	ribosomal small subunit assembly	biological_process	7.938865324865226	7.98299357469431	7.938865324865226	7.98299357469431	1.0	1.0	NA	NA
GO:0000036	acyl carrier activity	molecular_function	5.520152167442986	3.584962500721156	5.520152167442986	3.584962500721156	1.0	1.0	NA	NA
GO:0000041	transition metal ion transport	biological_process	6.563653806079573	4.087462841250339	6.563653806079573	4.087462841250339	10.0	9.0	3.0	4.0
GO:0000049	tRNA binding	molecular_function	6.6333627778909765	6.507794640198696	6.6333627778909765	6.507794640198696	1.0	1.0	NA	NA
GO:0000052	citrulline metabolic process	biological_process	4.812332918936294	4.0	4.812332918936294	4.0	2.0	2.0	1.0	1.0
GO:0000054	ribosomal subunit export from nucleus	biological_process	0.9054423233277781	2.321928094887362	0.9054423233277781	2.321928094887362	2.0	1.0	1.0	NA
GO:0000055	ribosomal large subunit export from nucleus	biological_process	-0.09455767667222192	NA	-0.09455767667222192	NA	1.0	NA	NA	NA
GO:0000064	L-ornithine transmembrane transporter activity	molecular_function	2.4904048240489356	1.0	2.4904048240489356	1.0	2.0	2.0	1.0	1.0
GO:0000070	mitotic sister chromatid segregation	biological_process	3.0753673247700912	NA	3.0753673247700912	NA	1.0	NA	NA	NA
GO:0000075	cell cycle checkpoint	biological_process	4.859638633714654	4.857980995127572	4.859638633714654	4.857980995127572	8.0	8.0	2.0	2.0
GO:0000076	DNA replication checkpoint	biological_process	1.9054423233277782	2.584962500721156	1.9054423233277782	2.584962500721156	2.0	2.0	1.0	1.0
GO:0000077	DNA damage checkpoint	biological_process	2.90544232332778	2.321928094887362	2.90544232332778	2.321928094887362	2.0	2.0	1.0	1.0
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	-0.09455767667222192	NA	-0.09455767667222192	NA	1.0	NA	NA	NA
GO:0000082	G1/S transition of mitotic cell cycle	biological_process	NA	1.0	NA	1.0	NA	1.0	NA	NA
GO:0000086	G2/M transition of mitotic cell cycle	biological_process	-0.09455767667222192	NA	-0.09455767667222192	NA	1.0	NA	NA	NA
GO:0000096	sulfur amino acid metabolic process	biological_process	7.769628467982058	7.257387842692652	7.769628467982058	7.257387842692652	12.0	13.0	4.0	5.0
GO:0000097	sulfur amino acid biosynthetic process	biological_process	6.9054423233277795	6.339850002884624	6.9054423233277795	6.339850002884624	8.0	7.0	2.0	2.0
GO:0000098	sulfur amino acid catabolic process	biological_process	NA	1.0	NA	1.0	NA	2.0	NA	1.0
GO:0000099	sulfur amino acid transmembrane transporter activity	molecular_function	1.4904048240489343	4.392317422778761	1.4904048240489343	4.392317422778761	3.0	3.0	1.0	1.0
GO:0000101	sulfur amino acid transport	biological_process	1.4904048240489343	4.392317422778761	1.4904048240489343	4.392317422778761	3.0	3.0	1.0	1.0
GO:0000103	sulfate assimilation	biological_process	NA	1.0	NA	1.0	NA	1.0	NA	NA
GO:0000104	succinate dehydrogenase activity	molecular_function	6.055189442832461	3.700439718141092	6.055189442832461	3.700439718141092	1.0	2.0	NA	1.0
GO:0000105	histidine biosynthetic process	biological_process	4.6058820414688695	3.584962500721156	4.6058820414688695	3.584962500721156	1.0	1.0	NA	NA
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	NA	1.0	NA	1.0	NA	1.0	NA	NA
GO:0000118	histone deacetylase complex	cellular_component	NA	1.584962500721156	NA	1.584962500721156	NA	3.0	NA	2.0
GO:0000122	negative regulation of transcription by RNA polymerase II	biological_process	1.9054423233277782	4.523561956057013	1.9054423233277782	4.523561956057013	1.0	2.0	NA	1.0
GO:0000123	histone acetyltransferase complex	cellular_component	2.905442323327778	3.584962500721156	2.905442323327778	3.584962500721156	4.0	7.0	1.0	2.0
GO:0000124	SAGA complex	cellular_component	0.9054423233277781	1.0	0.9054423233277781	1.0	1.0	1.0	NA	NA
GO:0000131	incipient cellular bud site	cellular_component	NA	1.0	NA	1.0	NA	1.0	NA	NA
GO:0000132	establishment of mitotic spindle orientation	biological_process	-0.09455767667222192	1.0	-0.09455767667222192	1.0	1.0	1.0	NA	NA
GO:0000137	Golgi cis cisterna	cellular_component	-0.09455767667222192	1.584962500721156	-0.09455767667222192	1.584962500721156	1.0	1.0	NA	NA
GO:0000138	Golgi trans cisterna	cellular_component	-0.09455767667222192	1.584962500721156	-0.09455767667222192	1.584962500721156	1.0	1.0	NA	NA
GO:0000139	Golgi membrane	cellular_component	1.9054423233277782	3.169925001442312	1.9054423233277782	3.169925001442312	1.0	2.0	NA	1.0
GO:0000142	cellular bud neck contractile ring	cellular_component	1.490404824048937	NA	1.490404824048937	NA	1.0	NA	NA	NA
GO:0000146	microfilament motor activity	molecular_function	NA	1.584962500721156	NA	1.584962500721156	NA	2.0	NA	1.0
GO:0000151	ubiquitin ligase complex	cellular_component	-0.09455767667222192	NA	-0.09455767667222192	0.0	1.0	1.0	NA	NA
GO:0000154	rRNA modification	biological_process	5.3972954196574525	7.434628227636725	5.3972954196574525	7.434628227636725	7.0	8.0	2.0	2.0
GO:0000155	phosphorelay sensor kinase activity	molecular_function	0.9054423233277781	1.0	0.9054423233277781	1.0	1.0	1.0	NA	NA
GO:0000156	phosphorelay response regulator activity	molecular_function	3.8123329189362942	2.321928094887362	3.8123329189362942	2.321928094887362	1.0	1.0	NA	NA
GO:0000159	protein phosphatase type 2A complex	cellular_component	-0.09455767667222192	1.0	-0.09455767667222192	1.0	1.0	1.0	NA	NA
GO:0000160	phosphorelay signal transduction system	biological_process	4.490404824048931	4.087462841250339	4.490404824048931	4.087462841250339	1.0	1.0	NA	NA
GO:0000162	tryptophan biosynthetic process	biological_process	3.8123329189362942	5.044394119358453	3.8123329189362942	5.044394119358453	1.0	1.0	NA	NA
GO:0000165	MAPK cascade	biological_process	3.2273704182151413	2.0	3.2273704182151413	2.0	3.0	2.0	1.0	1.0
GO:0000166	nucleotide binding	molecular_function	13.514621061469757	14.100087380115399	13.514621061469757	14.100087380115399	31.0	29.0	7.0	7.0
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	7.25417047755886	6.459431618637297	7.25417047755886	6.459431618637297	1.0	1.0	NA	NA
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	1.490404824048937	3.4594316186372973	1.490404824048937	3.4594316186372973	1.0	1.0	NA	NA
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological_process	4.075367324770089	1.584962500721156	4.075367324770089	1.584962500721156	2.0	1.0	1.0	NA
GO:0000186	activation of MAPKK activity	biological_process	-0.09455767667222192	NA	-0.09455767667222192	NA	1.0	NA	NA	NA
GO:0000187	activation of MAPK activity	biological_process	1.9054423233277782	1.0	1.9054423233277782	1.0	1.0	1.0	NA	NA
GO:0000188	inactivation of MAPK activity	biological_process	-0.09455767667222192	NA	-0.09455767667222192	NA	1.0	NA	NA	NA
GO:0000209	protein polyubiquitination	biological_process	0.9054423233277781	NA	0.9054423233277781	0.0	2.0	1.0	1.0	NA
GO:0000210	NAD+ diphosphatase activity	molecular_function	NA	NA	NA	0.0	NA	1.0	NA	NA
GO:0000212	meiotic spindle organization	biological_process	2.4904048240489343	3.169925001442312	2.4904048240489343	3.169925001442312	3.0	3.0	1.0	1.0
GO:0000217	DNA secondary structure binding	molecular_function	5.114895688956729	3.584962500721156	5.114895688956729	3.584962500721156	2.0	2.0	1.0	1.0
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular_component	0.9054423233277781	2.0	0.9054423233277781	2.0	1.0	1.0	NA	NA
GO:0000226	microtubule cytoskeleton organization	biological_process	5.686802036852439	5.700439718141092	5.686802036852439	5.700439718141092	14.0	16.0	6.0	5.0
GO:0000228	nuclear chromosome	cellular_component	3.490404824048936	4.643856189774724	3.490404824048936	4.643856189774724	2.0	1.0	1.0	NA
GO:0000235	astral microtubule	cellular_component	NA	NA	NA	0.0	NA	1.0	NA	NA
GO:0000236	mitotic prometaphase	biological_process	0.9054423233277781	NA	0.9054423233277781	NA	1.0	NA	NA	NA
GO:0000242	pericentriolar material	cellular_component	-0.09455767667222192	NA	-0.09455767667222192	NA	1.0	NA	NA	NA
GO:0000245	spliceosomal complex assembly	biological_process	NA	1.0	NA	1.0	NA	1.0	NA	NA
GO:0000255	allantoin metabolic process	biological_process	3.6058820414688704	1.584962500721156	3.6058820414688704	1.584962500721156	3.0	3.0	1.0	1.0
GO:0000256	allantoin catabolic process	biological_process	2.712797245385382	1.0	2.712797245385382	1.0	2.0	2.0	1.0	1.0
GO:0000268	peroxisome targeting sequence binding	molecular_function	3.4904048240489343	NA	3.4904048240489343	NA	2.0	NA	1.0	NA
GO:0000270	peptidoglycan metabolic process	biological_process	8.77272106303744	8.622051819456376	8.77272106303744	8.622051819456376	4.0	2.0	3.0	1.0
GO:0000271	polysaccharide biosynthetic process	biological_process	9.276129730134995	9.753216749178955	9.276129730134995	9.753216749178955	8.0	8.0	1.0	1.0
GO:0000272	polysaccharide catabolic process	biological_process	7.626541512034965	5.977279923499917	7.626541512034965	5.977279923499917	5.0	5.0	2.0	2.0
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	cellular_component	1.490404824048937	NA	1.490404824048937	NA	1.0	NA	NA	NA
GO:0000278	mitotic cell cycle	biological_process	3.4904048240489316	3.0	3.4904048240489316	3.0	1.0	2.0	NA	1.0
GO:0000280	nuclear division	biological_process	3.6058820414688704	2.0	3.6058820414688704	2.0	3.0	2.0	1.0	1.0
GO:0000286	alanine dehydrogenase activity	molecular_function	5.9054423233277795	6.357552004618084	5.9054423233277795	6.357552004618084	1.0	1.0	NA	NA
GO:0000287	magnesium ion binding	molecular_function	9.892706335400318	10.339850002884624	9.892706335400318	10.339850002884624	1.0	1.0	NA	NA
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	biological_process	2.4904048240489343	NA	2.4904048240489343	0.0	1.0	1.0	NA	NA
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	biological_process	NA	NA	NA	0.0	NA	1.0	NA	NA
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic	biological_process	4.490404824048934	NA	4.490404824048934	NA	4.0	NA	2.0	NA
GO:0000301	retrograde transport, vesicle recycling within Golgi	biological_process	-0.09455767667222192	1.584962500721156	-0.09455767667222192	1.584962500721156	1.0	1.0	NA	NA
GO:0000302	response to reactive oxygen species	biological_process	8.35252554953743	5.930737337562887	8.35252554953743	5.930737337562887	10.0	10.0	4.0	4.0
GO:0000303	response to superoxide	biological_process	7.134261013823661	3.321928094887362	7.134261013823661	3.321928094887362	2.0	2.0	1.0	1.0
GO:0000305	response to oxygen radical	biological_process	7.134261013823661	3.321928094887362	7.134261013823661	3.321928094887362	2.0	2.0	2.0	2.0
GO:0000306	extrinsic component of vacuolar membrane	cellular_component	0.9054423233277781	NA	0.9054423233277781	NA	2.0	NA	1.0	NA
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	cellular_component	-0.09455767667222192	NA	-0.09455767667222192	NA	1.0	NA	1.0	NA
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	molecular_function	-0.09455767667222192	NA	-0.09455767667222192	NA	1.0	NA	NA	NA
GO:0000310	xanthine phosphoribosyltransferase activity	molecular_function	1.9054423233277782	NA	1.9054423233277782	NA	1.0	NA	NA	NA
GO:0000311	plastid large ribosomal subunit	cellular_component	1.490404824048937	4.247927513443585	1.490404824048937	4.247927513443585	1.0	1.0	NA	NA
GO:0000313	organellar ribosome	cellular_component	4.490404824048934	5.954196310386875	4.490404824048934	5.954196310386875	3.0	3.0	2.0	2.0
GO:0000314	organellar small ribosomal subunit	cellular_component	1.9054423233277782	NA	1.9054423233277782	NA	2.0	NA	1.0	NA
GO:0000315	organellar large ribosomal subunit	cellular_component	4.227370418215141	5.954196310386875	4.227370418215141	5.954196310386875	3.0	3.0	2.0	2.0
GO:0000322	storage vacuole	cellular_component	5.490404824048931	3.321928094887362	5.490404824048931	3.321928094887362	2.0	2.0	1.0	1.0
GO:0000323	lytic vacuole	cellular_component	5.905442323327777	4.0	5.905442323327777	4.0	3.0	3.0	2.0	2.0
GO:0000324	fungal-type vacuole	cellular_component	4.490404824048931	2.321928094887362	4.490404824048931	2.321928094887362	1.0	1.0	NA	NA
GO:0000329	fungal-type vacuole membrane	cellular_component	2.905442323327778	1.584962500721156	2.905442323327778	1.584962500721156	1.0	1.0	NA	NA
GO:0000331	contractile vacuole	cellular_component	0.9054423233277781	2.0	0.9054423233277781	2.0	1.0	1.0	NA	NA
GO:0000346	transcription export complex	cellular_component	-0.09455767667222192	1.0	-0.09455767667222192	1.0	1.0	1.0	NA	NA
GO:0000348	mRNA branch site recognition	biological_process	NA	1.0	NA	1.0	NA	1.0	NA	NA
GO:0000372	Group I intron splicing	biological_process	5.78808537268962	5.977279923499917	5.78808537268962	5.977279923499917	1.0	1.0	NA	NA
GO:0000375	RNA splicing, via transesterification reactions	biological_process	7.397295419657453	7.622051819456376	7.397295419657453	7.622051819456376	5.0	6.0	2.0	2.0
GO:0000376	RNA splicing, via transesterification reactions with guanosine as nucleophile	biological_process	6.78808537268962	6.977279923499917	6.78808537268962	6.977279923499917	2.0	2.0	1.0	1.0
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	biological_process	0.9054423233277781	2.584962500721156	0.9054423233277781	2.584962500721156	2.0	3.0	1.0	1.0
GO:0000398	mRNA splicing, via spliceosome	biological_process	-0.09455767667222192	2.0	-0.09455767667222192	2.0	1.0	2.0	NA	1.0
GO:0000400	four-way junction DNA binding	molecular_function	4.075367324770088	2.584962500721156	4.075367324770088	2.584962500721156	1.0	1.0	NA	NA
GO:0000413	protein peptidyl-prolyl isomerization	biological_process	8.377117537719824	8.204571144249204	8.377117537719824	8.204571144249204	1.0	1.0	NA	NA
