id	name	namespace	NS_mean	WS_mean	countNS	countWS	countNS_n_peptide	countWS_n_peptide	countNS_n_samp_children	countWS_n_samp_children
GO:0000003	reproduction	biological_process	-4.0582036687856995	-2.419997251980058	-4.0582036687856995	-2.419997251980058	192	192	2.0	2.0
GO:0000027	ribosomal large subunit assembly	biological_process	-7.445985767235197	-6.626626371421567	-7.445985767235197	-6.626626371421567	4	4	NA	NA
GO:0000036	acyl carrier activity	molecular_function	-7.793077885267398	-7.199918605042387	-7.793077885267398	-7.199918605042387	4	4	NA	NA
GO:0000041	transition metal ion transport	biological_process	-4.023638405672999	-5.429911483802384	-4.023638405672999	-5.429911483802384	32	32	1.0	1.0
GO:0000049	tRNA binding	molecular_function	-0.3542246602700987	0.9213156299206637	-0.3542246602700987	0.9213156299206637	1156	1156	NA	NA
GO:0000052	citrulline metabolic process	biological_process	-4.12722777552293	-4.550896472758905	-4.12722777552293	-4.550896472758905	128	128	1.0	1.0
GO:0000096	sulfur amino acid metabolic process	biological_process	-7.044593248099009	-7.525935652213296	-7.044593248099009	-7.525935652213296	24	24	2.0	2.0
GO:0000097	sulfur amino acid biosynthetic process	biological_process	-7.629555748820165	-8.110898152934453	-7.629555748820165	-8.110898152934453	16	16	1.0	1.0
GO:0000104	succinate dehydrogenase activity	molecular_function	-5.004071137977955	-3.3115788807378155	-5.004071137977955	-3.3115788807378155	136	136	1.0	1.0
GO:0000155	phosphorelay sensor kinase activity	molecular_function	-9.861361736722492	-10.249465853816005	-9.861361736722492	-10.249465853816005	4	4	NA	NA
GO:0000156	phosphorelay response regulator activity	molecular_function	-8.374470613821954	-7.467666202257434	-8.374470613821954	-7.467666202257434	4	4	NA	NA
GO:0000160	phosphorelay signal transduction system	biological_process	-6.934283219347388	-6.271801849993722	-6.934283219347388	-6.271801849993722	16	16	NA	NA
GO:0000166	nucleotide binding	molecular_function	6.418180953543928	7.394538616357583	6.418180953543928	7.394538616357583	303588	303588	5.0	5.0
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	-11.720166931905702	-11.76968088694728	-11.720166931905702	-11.76968088694728	4	4	NA	NA
GO:0000270	peptidoglycan metabolic process	biological_process	-4.003669060861271	-3.680543138745232	-4.003669060861271	-3.680543138745232	280	280	3.0	3.0
GO:0000271	polysaccharide biosynthetic process	biological_process	-2.701606920735124	-2.719560232582889	-2.701606920735124	-2.719560232582889	432	432	1.0	1.0
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	cellular_component	-3.0619600755934933	-3.3493304229647287	-3.0619600755934933	-3.3493304229647287	324	324	NA	NA
GO:0000286	alanine dehydrogenase activity	molecular_function	-9.698552937855704	-8.361631337135513	-9.698552937855704	-8.361631337135513	4	4	NA	NA
GO:0000287	magnesium ion binding	molecular_function	-2.496080284333281	-1.3243548723567415	-2.496080284333281	-1.3243548723567415	900	900	NA	NA
GO:0000311	plastid large ribosomal subunit	cellular_component	-3.0166626098931943	-2.2573925801502694	-3.0166626098931943	-2.2573925801502694	100	100	NA	NA
GO:0000312	plastid small ribosomal subunit	cellular_component	-1.5936876653626015	-0.9332468520101895	-1.5936876653626015	-0.9332468520101895	484	484	NA	NA
GO:0000314	organellar small ribosomal subunit	cellular_component	1.2544475966120663	2.2498990423840706	1.2544475966120663	2.2498990423840706	2600	2600	1.0	1.0
GO:0000315	organellar large ribosomal subunit	cellular_component	0.9849516559068734	2.3544644423362833	0.9849516559068734	2.3544644423362833	1864	1864	1.0	1.0
GO:0000345	cytosolic DNA-directed RNA polymerase complex	cellular_component	-10.180694129667328	-10.729934708154524	-10.180694129667328	-10.729934708154524	16	16	NA	NA
GO:0000413	protein peptidyl-prolyl isomerization	biological_process	-7.026724745703494	-7.051106493006706	-7.026724745703494	-7.051106493006706	16	16	NA	NA
GO:0000428	DNA-directed RNA polymerase complex	cellular_component	-10.180694129667328	-10.729934708154524	-10.180694129667328	-10.729934708154524	16	16	1.0	1.0
GO:0000902	cell morphogenesis	biological_process	-8.725941465417002	-5.601035938337145	-8.725941465417002	-5.601035938337145	16	16	NA	NA
GO:0000910	cytokinesis	biological_process	-2.6182755193484377	-0.9886173079950822	-2.6182755193484377	-0.9886173079950822	464	464	1.0	1.0
GO:0000917	division septum assembly	biological_process	-5.643166169506855	-4.004959752701215	-5.643166169506855	-4.004959752701215	64	64	NA	NA
GO:0001071	DNA-binding transcription factor activity	molecular_function	-4.477907987004978	-4.13973862925521	-4.477907987004978	-4.13973862925521	64	64	NA	NA
GO:0001505	regulation of neurotransmitter levels	biological_process	-5.946796245022869	-6.134209392706569	-5.946796245022869	-6.134209392706569	48	48	1.0	1.0
GO:0001882	nucleoside binding	molecular_function	5.660094772678742	6.6004524001285825	5.660094772678742	6.6004524001285825	180128	180128	2.0	2.0
GO:0001883	purine nucleoside binding	molecular_function	4.6979965906699945	5.635452311541596	4.6979965906699945	5.635452311541596	91928	91928	1.0	1.0
GO:0001887	selenium compound metabolic process	biological_process	-8.61181517207278	-8.654653225555348	-8.61181517207278	-8.654653225555348	16	16	NA	NA
GO:0003674	molecular_function	molecular_function	10.04912519613009	11.057205127691997	10.04912519613009	11.057205127691997	2628780	2628780	10.0	10.0
GO:0003676	nucleic acid binding	molecular_function	6.3989708575106885	7.525163496963485	6.3989708575106885	7.525163496963485	130560	130560	3.0	3.0
GO:0003677	DNA binding	molecular_function	0.12507410398639812	0.9451557587400011	0.12507410398639812	0.9451557587400011	2776	2776	3.0	3.0
GO:0003678	DNA helicase activity	molecular_function	-10.770890356103674	-10.903938977591018	-10.770890356103674	-10.903938977591018	4	4	NA	NA
GO:0003684	damaged DNA binding	molecular_function	-10.726224934244017	-11.015056096812113	-10.726224934244017	-11.015056096812113	4	4	NA	NA
GO:0003697	single-stranded DNA binding	molecular_function	-5.935171348423994	-5.510010728213901	-5.935171348423994	-5.510010728213901	64	64	NA	NA
GO:0003700	DNA-binding transcription factor activity	molecular_function	-3.077333841258815	-2.785610797749169	-3.077333841258815	-2.785610797749169	144	144	NA	NA
GO:0003723	RNA binding	molecular_function	5.608238421719262	6.727761576618323	5.608238421719262	6.727761576618323	72072	72072	5.0	5.0
GO:0003729	mRNA binding	molecular_function	-3.8309624019161252	-3.800294204812009	-3.8309624019161252	-3.800294204812009	144	144	NA	NA
GO:0003735	structural constituent of ribosome	molecular_function	6.484823630859706	7.735445031124337	6.484823630859706	7.735445031124337	87616	87616	NA	NA
GO:0003743	translation initiation factor activity	molecular_function	-5.8830193706175296	-6.874825195908095	-5.8830193706175296	-6.874825195908095	36	36	NA	NA
GO:0003746	translation elongation factor activity	molecular_function	1.199934042860471	2.3245397083957777	1.199934042860471	2.3245397083957777	6400	6400	NA	NA
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	molecular_function	-5.834234967208707	-6.179591933946934	-5.834234967208707	-6.179591933946934	36	36	NA	NA
GO:0003824	catalytic activity	molecular_function	7.6153813527712035	8.38469024302224	7.6153813527712035	8.38469024302224	606260	606260	10.0	10.0
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	molecular_function	-10.235400830664522	-9.09895699685993	-10.235400830664522	-9.09895699685993	4	4	NA	NA
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity	molecular_function	-10.235400830664522	-9.09895699685993	-10.235400830664522	-9.09895699685993	4	4	NA	NA
GO:0003872	6-phosphofructokinase activity	molecular_function	-5.738723752175766	-6.490843678431348	-5.738723752175766	-6.490843678431348	36	36	NA	NA
GO:0003887	DNA-directed DNA polymerase activity	molecular_function	-8.597044985290017	-7.400179310477366	-8.597044985290017	-7.400179310477366	16	16	NA	NA
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	molecular_function	-7.099153203968086	-7.23338482512345	-7.099153203968086	-7.23338482512345	144	144	NA	NA
GO:0003916	DNA topoisomerase activity	molecular_function	-9.297846756683162	-7.779828960849087	-9.297846756683162	-7.779828960849087	24	24	1.0	1.0
GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	molecular_function	-9.882809257404318	-8.364791461570242	-9.882809257404318	-8.364791461570242	16	16	NA	NA
GO:0003920	GMP reductase activity	molecular_function	-5.303721010297652	-4.171352821693136	-5.303721010297652	-4.171352821693136	144	144	NA	NA
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity	molecular_function	-9.313917449896843	-7.549532547281348	-9.313917449896843	-7.549532547281348	16	16	NA	NA
GO:0003924	GTPase activity	molecular_function	-0.98110059943666	0.011725295318356213	-0.98110059943666	0.011725295318356213	2116	2116	NA	NA
GO:0003938	IMP dehydrogenase activity	molecular_function	-5.567873466898505	-3.837612983321499	-5.567873466898505	-3.837612983321499	144	144	NA	NA
GO:0003942	N-acetyl-gamma-glutamyl-phosphate reductase activity	molecular_function	-9.629555748820165	-10.110898152934453	-9.629555748820165	-10.110898152934453	4	4	NA	NA
GO:0003954	NADH dehydrogenase activity	molecular_function	-9.295549427757559	-7.428601550005143	-9.295549427757559	-7.428601550005143	12	12	1.0	1.0
GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity	molecular_function	-9.048448775804744	-6.946221843411453	-9.048448775804744	-6.946221843411453	16	16	NA	NA
