id	name	namespace	NS_mean	WS_mean	countNS	countWS	countNS_n_peptide	countWS_n_peptide	countNS_n_samp_children	countWS_n_samp_children
GO:0000003	reproduction	biological_process	9.026975840667808	9.848622940429339	9.026975840667808	9.848622940429339	6.0	5.0	4.0	4.0
GO:0000010	trans-hexaprenyltranstransferase activity	molecular_function	-0.09455767667222192	1.584962500721156	-0.09455767667222192	1.584962500721156	1.0	1.0	NA	NA
GO:0000015	phosphopyruvate hydratase complex	cellular_component	8.82430556060237	9.640244936222345	8.82430556060237	9.640244936222345	1.0	1.0	NA	NA
GO:0000017	alpha-glucoside transport	biological_process	4.075367324770088	NA	4.075367324770088	NA	1.0	NA	NA	NA
GO:0000018	regulation of DNA recombination	biological_process	NA	1.0	NA	1.0	NA	1.0	NA	NA
GO:0000027	ribosomal large subunit assembly	biological_process	5.686802036852437	6.066089190457772	5.686802036852437	6.066089190457772	1.0	1.0	NA	NA
GO:0000028	ribosomal small subunit assembly	biological_process	7.88843589802209	8.113742166049189	7.88843589802209	8.113742166049189	1.0	1.0	NA	NA
GO:0000034	adenine deaminase activity	molecular_function	NA	NA	NA	0.0	NA	1.0	NA	NA
GO:0000036	acyl carrier activity	molecular_function	5.927810136356233	5.727920454563199	5.927810136356233	5.727920454563199	1.0	1.0	NA	NA
GO:0000041	transition metal ion transport	biological_process	9.948469606922325	9.63662462054365	9.948469606922325	9.63662462054365	23.0	22.0	7.0	7.0
GO:0000042	protein localization to Golgi apparatus	biological_process	-0.09455767667222192	NA	-0.09455767667222192	NA	1.0	NA	NA	NA
GO:0000045	autophagosome assembly	biological_process	2.4904048240489343	NA	2.4904048240489343	NA	1.0	NA	NA	NA
GO:0000049	tRNA binding	molecular_function	10.376101197388328	10.371776644337924	10.376101197388328	10.371776644337924	1.0	1.0	NA	NA
GO:0000052	citrulline metabolic process	biological_process	8.28914661580183	8.499845887083206	8.28914661580183	8.499845887083206	2.0	2.0	1.0	1.0
GO:0000062	fatty-acyl-CoA binding	molecular_function	1.490404824048937	NA	1.490404824048937	NA	1.0	NA	NA	NA
GO:0000070	mitotic sister chromatid segregation	biological_process	3.6058820414688757	4.247927513443585	3.6058820414688757	4.247927513443585	1.0	1.0	NA	NA
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	NA	1.584962500721156	NA	1.584962500721156	NA	1.0	NA	NA
GO:0000096	sulfur amino acid metabolic process	biological_process	11.612369962945182	10.767356854125685	11.612369962945182	10.767356854125685	17.0	19.0	4.0	5.0
GO:0000097	sulfur amino acid biosynthetic process	biological_process	10.906850517720587	10.086136225027309	10.906850517720587	10.086136225027309	13.0	14.0	3.0	4.0
GO:0000099	sulfur amino acid transmembrane transporter activity	molecular_function	5.397295419657451	5.584962500721156	5.397295419657451	5.584962500721156	3.0	3.0	1.0	1.0
GO:0000101	sulfur amino acid transport	biological_process	5.460031175005415	5.584962500721156	5.460031175005415	5.584962500721156	4.0	3.0	2.0	1.0
GO:0000103	sulfate assimilation	biological_process	-0.09455767667222192	1.584962500721156	-0.09455767667222192	1.584962500721156	1.0	1.0	NA	NA
