id	name	namespace	NS_mean	WS_mean	countNS	countWS	countNS_n_peptide	countWS_n_peptide	countNS_n_samp_children	countWS_n_samp_children
GO:0000015	phosphopyruvate hydratase complex	cellular_component	8.807354922057604	9.269126679149418	8.807354922057604	9.269126679149418	1.0	1.0	NA	NA
GO:0000018	regulation of DNA recombination	biological_process	5.584962500721156	4.169925001442312	5.584962500721156	4.169925001442312	2.0	2.0	1.0	1.0
GO:0000023	maltose metabolic process	biological_process	1.0	3.807354922057604	1.0	3.807354922057604	1.0	1.0	NA	NA
GO:0000028	ribosomal small subunit assembly	biological_process	4.807354922057604	3.4594316186372973	4.807354922057604	3.4594316186372973	1.0	1.0	NA	NA
GO:0000041	transition metal ion transport	biological_process	9.121533517340032	8.879583249612784	9.121533517340032	8.879583249612784	6.0	6.0	2.0	2.0
GO:0000096	sulfur amino acid metabolic process	biological_process	10.665335917185176	10.41574176829009	10.665335917185176	10.41574176829009	11.0	11.0	5.0	5.0
GO:0000097	sulfur amino acid biosynthetic process	biological_process	10.228818690495881	9.668884984266247	10.228818690495881	9.668884984266247	6.0	6.0	2.0	2.0
GO:0000098	sulfur amino acid catabolic process	biological_process	1.0	7.442943495848728	1.0	7.442943495848728	2.0	2.0	1.0	1.0
GO:0000104	succinate dehydrogenase activity	molecular_function	6.6865005271832185	7.011227255423254	6.6865005271832185	7.011227255423254	1.0	1.0	1.0	1.0
GO:0000105	histidine biosynthetic process	biological_process	3.4594316186372973	4.754887502163468	3.4594316186372973	4.754887502163468	1.0	1.0	NA	NA
GO:0000154	rRNA modification	biological_process	6.129283016944966	7.321928094887363	6.129283016944966	7.321928094887363	3.0	3.0	1.0	1.0
GO:0000155	phosphorelay sensor kinase activity	molecular_function	4.857980995127572	6.087462841250339	4.857980995127572	6.087462841250339	1.0	1.0	NA	NA
GO:0000160	phosphorelay signal transduction system	biological_process	7.800899899920305	8.118941072723507	7.800899899920305	8.118941072723507	1.0	1.0	NA	NA
GO:0000166	nucleotide binding	molecular_function	16.174574638082102	16.322297878985157	16.174574638082102	16.322297878985157	13.0	12.0	5.0	4.0
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	1.584962500721156	4.087462841250339	1.584962500721156	4.087462841250339	1.0	1.0	NA	NA
GO:0000270	peptidoglycan metabolic process	biological_process	9.618385502258606	9.951284714966972	9.618385502258606	9.951284714966972	4.0	4.0	3.0	3.0
GO:0000271	polysaccharide biosynthetic process	biological_process	9.960001932068081	10.087462841250339	9.960001932068081	10.087462841250339	4.0	4.0	1.0	1.0
GO:0000272	polysaccharide catabolic process	biological_process	8.08214904135387	9.485829308701904	8.08214904135387	9.485829308701904	5.0	5.0	3.0	3.0
GO:0000287	magnesium ion binding	molecular_function	11.235415935602527	11.549303368513575	11.235415935602527	11.549303368513575	1.0	1.0	NA	NA
GO:0000302	response to reactive oxygen species	biological_process	7.523561956057013	8.149747119504681	7.523561956057013	8.149747119504681	2.0	2.0	1.0	1.0
GO:0000305	response to oxygen radical	biological_process	6.169925001442312	7.118941072723508	6.169925001442312	7.118941072723508	1.0	1.0	NA	NA
GO:0000428	DNA-directed RNA polymerase complex	cellular_component	7.05528243550119	4.584962500721156	7.05528243550119	4.584962500721156	1.0	1.0	NA	NA
GO:0000502	proteasome complex	cellular_component	4.700439718141092	NA	4.700439718141092	NA	3.0	NA	1.0	NA
GO:0000721	(R,R)-butanediol dehydrogenase activity	molecular_function	4.169925001442312	6.20945336562895	4.169925001442312	6.20945336562895	1.0	1.0	NA	NA
GO:0000724	double-strand break repair via homologous recombination	biological_process	4.0	NA	4.0	NA	1.0	NA	NA	NA
GO:0000725	recombinational repair	biological_process	5.087462841250339	NA	5.087462841250339	0.0	2.0	1.0	1.0	NA
GO:0000774	adenyl-nucleotide exchange factor activity	molecular_function	5.426264754702098	6.022367813028454	5.426264754702098	6.022367813028454	1.0	1.0	NA	NA
GO:0000902	cell morphogenesis	biological_process	7.491853096329675	6.169925001442312	7.491853096329675	6.169925001442312	1.0	1.0	NA	NA
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	molecular_function	5.0	2.807354922057604	5.0	2.807354922057604	1.0	1.0	NA	NA
GO:0000910	cytokinesis	biological_process	8.459431618637296	9.43879185257826	8.459431618637296	9.43879185257826	2.0	2.0	1.0	1.0
GO:0000921	septin ring assembly	biological_process	2.0	6.022367813028454	2.0	6.022367813028454	1.0	1.0	NA	NA
GO:0000966	RNA 5'-end processing	biological_process	NA	5.584962500721156	NA	5.584962500721156	NA	3.0	NA	1.0
GO:0000967	rRNA 5'-end processing	biological_process	NA	4.0	NA	4.0	NA	1.0	NA	NA
GO:0000975	transcription regulatory region DNA binding	molecular_function	4.321928094887363	5.954196310386875	4.321928094887363	5.954196310386875	1.0	1.0	1.0	3.0
GO:0000976	transcription regulatory region sequence-specific DNA binding	molecular_function	4.087462841250339	6.727920454563199	4.087462841250339	6.727920454563199	1.0	5.0	NA	2.0
GO:0000984	bacterial-type RNA polymerase regulatory region sequence-specific DNA binding	molecular_function	NA	4.459431618637297	NA	4.459431618637297	NA	2.0	NA	1.0
GO:0000986	bacterial-type cis-regulatory region sequence-specific DNA binding	molecular_function	NA	3.4594316186372973	NA	3.4594316186372973	NA	1.0	NA	NA
GO:0000987	cis-regulatory region sequence-specific DNA binding	molecular_function	NA	4.459431618637297	NA	4.459431618637297	NA	2.0	NA	1.0
GO:0000996	sigma factor activity	molecular_function	6.189824558880018	5.169925001442312	6.189824558880018	5.169925001442312	1.0	1.0	NA	NA
GO:0001017	bacterial-type RNA polymerase regulatory region DNA binding	molecular_function	NA	5.044394119358453	NA	5.044394119358453	NA	3.0	NA	1.0
GO:0001067	regulatory region nucleic acid binding	molecular_function	6.266786540694901	8.243173983472952	6.266786540694901	8.243173983472952	4.0	9.0	1.0	1.0
GO:0001071	DNA-binding transcription factor activity	molecular_function	8.475733430966399	8.936637939002571	8.475733430966399	8.936637939002571	1.0	1.0	1.0	1.0
GO:0001130	DNA-binding transcription factor activity	molecular_function	4.087462841250339	5.672425341971495	4.087462841250339	5.672425341971495	1.0	1.0	1.0	1.0
