id	name	namespace	NS_mean	WS_mean	countNS	countWS	countNS_n_peptide	countWS_n_peptide	countNS_n_samp_children	countWS_n_samp_children
GO:0000015	phosphopyruvate hydratase complex	cellular_component	11.62067804213541	13.22590884169311	11.62067804213541	13.22590884169311	1.0	1.0	0.0	0.0
GO:0000027	ribosomal large subunit assembly	biological_process	5.28540221886225	5.719964997182356	5.28540221886225	5.719964997182356	1.0	1.0	0.0	0.0
GO:0000028	ribosomal small subunit assembly	biological_process	1.0	-0.18692559842616255	1.0	-0.18692559842616255	1.0	1.0	0.0	0.0
GO:0000036	acyl carrier activity	molecular_function	1.584962500721156	1.3980369022949939	1.584962500721156	1.3980369022949939	1.0	1.0	0.0	0.0
GO:0000049	tRNA binding	molecular_function	10.583082767502932	10.365743499088108	10.583082767502932	10.365743499088108	1.0	1.0	0.0	0.0
GO:0000096	sulfur amino acid metabolic process	biological_process	8.599912842187129	4.900537242824177	8.599912842187129	4.900537242824177	4.0	3.0	3.0	3.0
GO:0000097	sulfur amino acid biosynthetic process	biological_process	8.599912842187129	4.719964997182356	8.599912842187129	4.719964997182356	4.0	2.0	2.0	2.0
GO:0000105	histidine biosynthetic process	biological_process	0.0	-0.18692559842616255	0.0	-0.18692559842616255	0.0	1.0	0.0	0.0
GO:0000155	phosphorelay sensor kinase activity	molecular_function	2.5849625007211556	3.5135141197149333	2.5849625007211556	3.5135141197149333	1.0	1.0	0.0	0.0
GO:0000156	phosphorelay response regulator activity	molecular_function	0.0	0.8130744015738405	0.0	0.8130744015738405	0.0	1.0	0.0	0.0
GO:0000160	phosphorelay signal transduction system	biological_process	6.523561956057013	5.942357418518803	6.523561956057013	5.942357418518803	1.0	1.0	0.0	0.0
GO:0000166	nucleotide binding	molecular_function	14.397941971972639	14.627206205228115	14.397941971972639	14.627206205228115	12.0	9.0	5.0	5.0
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	4.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	0.0	-0.18692559842616255	0.0	-0.18692559842616255	0.0	1.0	0.0	0.0
GO:0000270	peptidoglycan metabolic process	biological_process	7.6438561897747235	8.070462244266492	7.6438561897747235	8.070462244266492	3.0	3.0	3.0	3.0
GO:0000286	alanine dehydrogenase activity	molecular_function	6.459431618637298	8.2684016218784	6.459431618637298	8.2684016218784	1.0	1.0	0.0	0.0
GO:0000287	magnesium ion binding	molecular_function	12.368233611380944	13.656897333704755	12.368233611380944	13.656897333704755	1.0	1.0	0.0	0.0
GO:0000302	response to reactive oxygen species	biological_process	6.78135971352466	0.0	6.78135971352466	0.0	1.0	0.0	0.0	0.0
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	4.392317422778762	-0.18692559842616255	4.392317422778762	-0.18692559842616255	1.0	1.0	0.0	0.0
GO:0000721	(R,R)-butanediol dehydrogenase activity	molecular_function	4.169925001442312	3.5135141197149333	4.169925001442312	3.5135141197149333	1.0	1.0	0.0	0.0
GO:0000774	adenyl-nucleotide exchange factor activity	molecular_function	6.6293566200796095	3.2725060202111362	6.6293566200796095	3.2725060202111362	1.0	1.0	0.0	0.0
GO:0000902	cell morphogenesis	biological_process	7.179909090014935	7.21395383785602	7.179909090014935	7.21395383785602	1.0	1.0	0.0	0.0
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	molecular_function	2.3219280948873617	2.135002496461201	2.3219280948873617	2.135002496461201	1.0	1.0	0.0	0.0
GO:0000921	septin ring assembly	biological_process	0.0	4.45693059134856	0.0	4.45693059134856	0.0	1.0	0.0	0.0
GO:0001123	transcription initiation from bacterial-type RNA polymerase promoter	biological_process	1.0	4.942357418518807	1.0	4.942357418518807	1.0	1.0	0.0	0.0
GO:0001882	nucleoside binding	molecular_function	12.928333307585149	13.596891160894025	12.928333307585149	13.596891160894025	2.0	2.0	2.0	2.0
