id	name	namespace	NS_mean	WS_mean	countNS	countWS	countNS_n_peptide	countWS_n_peptide	countNS_n_samp_children	countWS_n_samp_children
GO:0000036	acyl carrier activity	molecular_function	-9.793077885267397	-9.199918605042388	-9.793077885267397	-9.199918605042388	1	1	NA	NA
GO:0000049	tRNA binding	molecular_function	-6.4532585219152505	-5.171586840678631	-6.4532585219152505	-5.171586840678631	1	1	NA	NA
GO:0000104	succinate dehydrogenase activity	molecular_function	-9.469853807996156	-7.992583744385801	-9.469853807996156	-7.992583744385801	2	2	1.0	1.0
GO:0000155	phosphorelay sensor kinase activity	molecular_function	-11.861361736722492	-12.249465853816005	-11.861361736722492	-12.249465853816005	1	1	NA	NA
GO:0000156	phosphorelay response regulator activity	molecular_function	-10.374470613821954	-9.467666202257433	-10.374470613821954	-9.467666202257433	1	1	NA	NA
GO:0000166	nucleotide binding	molecular_function	-2.163550114377791	-1.1972459838192635	-2.163550114377791	-1.1972459838192635	14	14	5.0	5.0
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	-13.720166931905702	-13.76968088694728	-13.720166931905702	-13.76968088694728	1	1	NA	NA
GO:0000286	alanine dehydrogenase activity	molecular_function	-11.698552937855704	-10.361631337135513	-11.698552937855704	-10.361631337135513	1	1	NA	NA
GO:0000287	magnesium ion binding	molecular_function	-8.40297087994181	-7.231245467965284	-8.40297087994181	-7.231245467965284	1	1	NA	NA
GO:0001882	nucleoside binding	molecular_function	-3.00069308711417	-2.063739312251095	-3.00069308711417	-2.063739312251095	5	5	2.0	2.0
GO:0001883	purine nucleoside binding	molecular_function	-3.9138722522577307	-2.982646413465992	-3.9138722522577307	-2.982646413465992	3	3	1.0	1.0
GO:0003674	molecular_function	molecular_function	1.1508417797052777	2.0507400882857723	1.1508417797052777	2.0507400882857723	473	473	10.0	10.0
GO:0003676	nucleic acid binding	molecular_function	-2.107002878048353	-0.9631688303601414	-2.107002878048353	-0.9631688303601414	14	14	3.0	3.0
GO:0003677	DNA binding	molecular_function	-6.599551467816891	-5.867581110321228	-6.599551467816891	-5.867581110321228	4	4	3.0	3.0
GO:0003678	DNA helicase activity	molecular_function	-12.770890356103674	-12.903938977591018	-12.770890356103674	-12.903938977591018	1	1	NA	NA
GO:0003684	damaged DNA binding	molecular_function	-12.726224934244017	-13.015056096812113	-12.726224934244017	-13.015056096812113	1	1	NA	NA
GO:0003697	single-stranded DNA binding	molecular_function	-11.153925299427925	-10.860889443412228	-11.153925299427925	-10.860889443412228	1	1	NA	NA
GO:0003700	DNA-binding transcription factor activity	molecular_function	-8.477907987004976	-8.13973862925521	-8.477907987004976	-8.13973862925521	1	1	NA	NA
GO:0003723	RNA binding	molecular_function	-2.7495716480934944	-1.5813096216568097	-2.7495716480934944	-1.5813096216568097	9	9	5.0	5.0
GO:0003729	mRNA binding	molecular_function	-8.415924902637284	-8.385256705533168	-8.415924902637284	-8.385256705533168	1	1	NA	NA
GO:0003735	structural constituent of ribosome	molecular_function	-3.5779116205936834	-2.361720168554301	-3.5779116205936834	-2.361720168554301	1	1	NA	NA
GO:0003743	translation initiation factor activity	molecular_function	-11.05294437205984	-12.044750197350407	-11.05294437205984	-12.044750197350407	1	1	NA	NA
GO:0003746	translation elongation factor activity	molecular_function	-7.070130146195475	-6.079363000438783	-7.070130146195475	-6.079363000438783	1	1	NA	NA
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	molecular_function	-10.026724745703495	-10.051106493006706	-10.026724745703495	-10.051106493006706	1	1	NA	NA
GO:0003824	catalytic activity	molecular_function	-0.6405803233088603	0.04336380788168072	-0.6405803233088603	0.04336380788168072	341	341	10.0	10.0
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	molecular_function	-12.235400830664522	-11.09895699685993	-12.235400830664522	-11.09895699685993	1	1	NA	NA
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity	molecular_function	-12.235400830664522	-11.09895699685993	-12.235400830664522	-11.09895699685993	1	1	NA	NA
GO:0003872	6-phosphofructokinase activity	molecular_function	-10.90864875361808	-11.660768679873662	-10.90864875361808	-11.660768679873662	1	1	NA	NA
GO:0003887	DNA-directed DNA polymerase activity	molecular_function	-12.597044985290019	-11.400179310477366	-12.597044985290019	-11.400179310477366	1	1	NA	NA
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	molecular_function	-12.315387337992298	-12.264102164366804	-12.315387337992298	-12.264102164366804	1	1	NA	NA
GO:0003916	DNA topoisomerase activity	molecular_function	-12.297846756683162	-10.779828960849086	-12.297846756683162	-10.779828960849086	3	3	1.0	1.0
GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	molecular_function	-13.882809257404318	-12.364791461570242	-13.882809257404318	-12.364791461570242	1	1	NA	NA
GO:0003920	GMP reductase activity	molecular_function	-10.276605018184174	-8.855930986124092	-10.276605018184174	-8.855930986124092	1	1	NA	NA
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity	molecular_function	-13.313917449896843	-11.549532547281348	-13.313917449896843	-11.549532547281348	1	1	NA	NA
GO:0003924	GTPase activity	molecular_function	-7.540147473798916	-6.539008839212225	-7.540147473798916	-6.539008839212225	1	1	NA	NA
GO:0003938	IMP dehydrogenase activity	molecular_function	-10.808818210419243	-8.962938491889116	-10.808818210419243	-8.962938491889116	1	1	NA	NA
GO:0003942	N-acetyl-gamma-glutamyl-phosphate reductase activity	molecular_function	-11.629555748820165	-12.110898152934453	-11.629555748820165	-12.110898152934453	1	1	NA	NA
GO:0003954	NADH dehydrogenase activity	molecular_function	-11.295549427757559	-9.428601550005144	-11.295549427757559	-9.428601550005144	3	3	1.0	1.0
GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity	molecular_function	-13.048448775804744	-10.946221843411454	-13.048448775804744	-10.946221843411454	1	1	NA	NA
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity	molecular_function	-10.517946986479828	-10.235957466246296	-10.517946986479828	-10.235957466246296	1	1	NA	NA
GO:0003986	acetyl-CoA hydrolase activity	molecular_function	-10.144238958483058	-9.667056768312202	-10.144238958483058	-9.667056768312202	1	1	NA	NA
