GO Term	Fold Change	MetaGOmics	EggNOG	MEGAN	MPA	Prophane	Unipept
anchored component of membrane	FC (WS / NS)	2.06 (3.17 / 0)	-0.58 (2 / 3.49)	-	-	-	-
 	Percentile (%)	3.619	70.026	-	-	-	-
Gram-negative-bacterium-type cell wall	FC (WS / NS)	2 (3 / 0)	-0.23 (6.09 / 7.34)	-0.03 (7.7 / 7.86)	-3.03 (0 / 7.17)	-	-1.08 (1 / 3.23)
 	Percentile (%)	3.841	61.702	71.504	92.026	-	94.06
tertiary granule lumen	FC (WS / NS)	1.93 (2.81 / 0)	-	-	-	-	-
 	Percentile (%)	4.444	-	-	-	-	-
anaerobic ribonucleoside-triphosphate reductase complex	FC (WS / NS)	1.66 (5.32 / 1)	0.24 (5.43 / 4.43)	-	-	-	-
 	Percentile (%)	4.667	22.41	-	-	-	-
septin ring	FC (WS / NS)	1.23 (6.02 / 2)	1 (1 / 0)	1.09 (6.09 / 2.32)	3.08 (7.46 / 0)	-	0.76 (6.15 / 3.23)
 	Percentile (%)	6.19	8.495	8.057	1.97	-	9.123
cytoskeleton	FC (WS / NS)	1 (7.02 / 3)	-0.21 (6.7 / 7.89)	0.11 (12.5 / 11.47)	3.08 (7.46 / 0)	-0.75 (-4.24 / -6.44)	0.35 (6.6 / 4.95)
 	Percentile (%)	7.143	60.848	30.259	1.923	91.008	17.794
septin cytoskeleton	FC (WS / NS)	1 (7.02 / 3)	1.37 (1.58 / 0)	0.9 (7.09 / 3.32)	3.08 (7.46 / 0)	-	0.76 (6.15 / 3.23)
 	Percentile (%)	7.206	5.855	12.497	2.111	-	9.173
organellar chromatophore	FC (WS / NS)	0.73 (4.52 / 2.32)	-	-	-	-	-
 	Percentile (%)	9.619	-	-	-	-	-
bacteroid-containing symbiosome	FC (WS / NS)	0.59 (5.52 / 3.32)	-	-	-	-	-
 	Percentile (%)	11.365	-	-	-	-	-
vacuole	FC (WS / NS)	0.56 (6.11 / 3.81)	-0.32 (5.36 / 6.94)	-0.12 (7.64 / 8.42)	-	-	0.07 (1 / 0.91)
 	Percentile (%)	11.683	64.467	77.707	-	-	42.632
cell septum	FC (WS / NS)	0.55 (6.17 / 3.91)	0.3 (6.11 / 4.76)	-	-	-	-
 	Percentile (%)	11.841	20.438	-	-	-	-
symbiosome	FC (WS / NS)	0.53 (6.11 / 3.91)	-	-	-	-	-
 	Percentile (%)	11.905	-	-	-	-	-
NarGHI complex	FC (WS / NS)	0.48 (5.73 / 3.81)	-	-	-	-	-
 	Percentile (%)	12.635	-	-	-	-	-
type II protein secretion system complex	FC (WS / NS)	0.47 (6.49 / 4.39)	-	-2.69 (0 / 5.46)	-	-	-0.97 (1 / 2.91)
 	Percentile (%)	12.825	-	99.199	-	-	93.283
intrinsic component of plasma membrane	FC (WS / NS)	0.46 (5.73 / 3.91)	-0.18 (8.33 / 9.58)	-0.07 (9.51 / 10.01)	-0.29 (7.04 / 8.85)	0 (-11 / -11.03)	-0.01 (7.06 / 7.13)
 	Percentile (%)	12.984	60.118	74.594	68.949	46.483	60.802
intrinsic component of the cytoplasmic side of the plasma membrane	FC (WS / NS)	0.46 (5.73 / 3.91)	-	-	-	-	-
 	Percentile (%)	13.016	-	-	-	-	-
primosome complex	FC (WS / NS)	0.44 (5.36 / 3.7)	-	1 (1 / 0)	0.36 (6.59 / 4.91)	-	0.11 (5.21 / 4.76)
 	Percentile (%)	13.46	-	12.245	12.805	-	37.744
MacAB-TolC complex	FC (WS / NS)	0.42 (5.55 / 3.91)	-	-	-	-	-
 	Percentile (%)	13.905	-	-	-	-	-
endoplasmic reticulum lumen	FC (WS / NS)	0.4 (5.81 / 4.17)	-0.93 (0 / 0.91)	0 (0 / 0)	-	-	-
 	Percentile (%)	14.254	74.794	55.116	-	-	-
macrolide transmembrane transporter complex	FC (WS / NS)	0.4 (6.83 / 4.95)	-	-	-	-	-
 	Percentile (%)	14.317	-	-	-	-	-
basement membrane	FC (WS / NS)	0.39 (5.78 / 4.17)	0.34 (5.73 / 4.3)	-	-	-	-
 	Percentile (%)	14.54	18.854	-	-	-	-
platelet alpha granule lumen	FC (WS / NS)	0.39 (5.78 / 4.17)	0.4 (5.7 / 4.08)	-	-	-	-
 	Percentile (%)	14.603	17.813	-	-	-	-
signal recognition particle	FC (WS / NS)	0.38 (5.73 / 4.17)	0.44 (5.67 / 3.91)	0.34 (6.73 / 5.09)	0.32 (9.23 / 7.17)	-0.1 (-9.26 / -9.87)	0.2 (5.91 / 4.99)
 	Percentile (%)	15.143	16.586	18.654	13.086	57.36	24.511
S-layer	FC (WS / NS)	0.36 (7.63 / 5.73)	0.5 (4.25 / 2.71)	-	-	-	-
 	Percentile (%)	15.651	15.748	-	-	-	-
endocytic vesicle	FC (WS / NS)	0.34 (6.86 / 5.21)	-0.44 (4.64 / 6.63)	-	-	-	-
 	Percentile (%)	16.349	66.998	-	-	-	-
protein-DNA complex	FC (WS / NS)	0.3 (7.27 / 5.73)	0.45 (5.93 / 4.08)	0.47 (2.58 / 1.58)	0.36 (6.59 / 4.91)	-	0.14 (5.95 / 5.3)
 	Percentile (%)	17.968	16.447	16.022	12.758	-	34.787
plasmodesma	FC (WS / NS)	0.29 (5.58 / 4.39)	0.14 (0 / -0.09)	-	-	-	-1.54 (0 / 1.91)
 	Percentile (%)	18.476	27.535	-	-	-	96.566
