GO Term	Fold Change	MPA	EggNOG	MEGAN	MetaGOmics	Prophane	Unipept
biotin binding	FC (WS / NS)	3.58 (10.93 / 0)	-0.32 (1 / 1.49)	-	0.89 (7.02 / 3.32)	-	0.98 (7.37 / 3.23)
 	Percentile (%)	0.047	63.892	-	8.063	-	7.419
heat shock protein binding	FC (WS / NS)	3.48 (10.12 / 0)	-0.32 (1 / 1.49)	-	0.06 (9.59 / 9.14)	-	0.32 (6.57 / 5.08)
 	Percentile (%)	0.094	63.674	-	39.175	-	18.546
phosphoenolpyruvate carboxylase activity	FC (WS / NS)	3.4 (9.56 / 0)	1.38 (5.46 / 1.49)	1.34 (5.52 / 1.58)	1.18 (5.81 / 2)	-	0.72 (5.98 / 3.23)
 	Percentile (%)	0.188	5.358	7.622	6.381	-	9.649
deaminase activity	FC (WS / NS)	3.29 (8.8 / 0)	-0.35 (4.39 / 5.86)	-0.05 (11 / 11.41)	0.86 (5.04 / 2.32)	-0.25 (-6.55 / -7.59)	0.28 (5.67 / 4.49)
 	Percentile (%)	0.328	65.103	73.266	8.317	69.906	20.301
potassium ion transmembrane transporter activity	FC (WS / NS)	3.27 (8.64 / 0)	0.03 (3.46 / 3.36)	0.11 (7.21 / 6.6)	-	-	0.07 (4.7 / 4.43)
 	Percentile (%)	0.375	42.879	30.625	-	-	41.955
adenine phosphoribosyltransferase activity	FC (WS / NS)	3.23 (8.4 / 0)	-0.03 (3.91 / 3.99)	0.1 (5.75 / 5.29)	-	-	-0.08 (4.7 / 5.03)
 	Percentile (%)	0.563	53.921	31.243	-	-	66.892
purine phosphoribosyltransferase activity	FC (WS / NS)	3.23 (8.4 / 0)	0.11 (6.44 / 5.88)	0.12 (7.69 / 6.98)	0.1 (6.46 / 5.98)	-	0.16 (7.33 / 6.46)
 	Percentile (%)	0.844	33.949	29.526	32.952	-	27.97
glycopeptide alpha-N-acetylgalactosaminidase activity	FC (WS / NS)	3.19 (8.15 / 0)	-	-	0.4 (5.32 / 3.81)	-	0.37 (5.36 / 3.91)
 	Percentile (%)	0.891	-	-	14.413	-	17.043
catalytic activity, acting on a glycoprotein	FC (WS / NS)	3.19 (8.15 / 0)	-	-	0.33 (6.32 / 4.81)	-	0.37 (5.36 / 3.91)
 	Percentile (%)	0.938	-	-	16.857	-	17.068
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity	FC (WS / NS)	3.17 (8.03 / 0)	0.38 (4.09 / 2.91)	0.42 (4.09 / 2.81)	-	-	0.33 (4.32 / 3.23)
 	Percentile (%)	1.032	18.372	16.548	-	-	18.095
oxidoreductase activity, acting on CH or CH2 groups, with an iron-sulfur protein as acceptor	FC (WS / NS)	3.17 (8.03 / 0)	0.31 (5.09 / 3.91)	0.34 (5.09 / 3.81)	-	-	0.33 (4.32 / 3.23)
 	Percentile (%)	1.079	19.848	18.677	-	-	18.12
orotate phosphoribosyltransferase activity	FC (WS / NS)	3.17 (8.01 / 0)	-	0 (6.36 / 6.36)	-	-	0.11 (5.32 / 4.86)
 	Percentile (%)	1.126	-	54.383	-	-	37.444
acid-thiol ligase activity	FC (WS / NS)	3.17 (7.99 / 0)	-1.51 (1.58 / 6.35)	-0.54 (5.64 / 8.64)	-0.36 (6.29 / 8.35)	-	-0.26 (5.52 / 6.82)
 	Percentile (%)	1.173	85.277	85.786	76.032	-	75.689
D-alanine [D-alanyl carrier protein] ligase activity	FC (WS / NS)	3.17 (7.99 / 0)	-	-	1.26 (5.17 / 1.58)	-	1.11 (5.29 / 1.91)
 	Percentile (%)	1.313	-	-	6.032	-	6.892
fructokinase activity	FC (WS / NS)	3.17 (7.98 / 0)	0.99 (5.43 / 2.23)	-	0.96 (5.46 / 2.32)	-	1.01 (5.49 / 2.23)
 	Percentile (%)	1.454	12.005	-	7.397	-	7.343
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines	FC (WS / NS)	3.15 (7.88 / 0)	0 (4.64 / 4.66)	-0.04 (10.87 / 11.21)	-0.13 (8.37 / 9.22)	-	0.09 (6.67 / 6.19)
 	Percentile (%)	1.501	52.524	72.808	64.921	-	38.897
oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor	FC (WS / NS)	3.14 (7.81 / 0)	-	-1 (0 / 1)	-	-	0.25 (6.09 / 4.95)
 	Percentile (%)	1.548	-	90.73	-	-	22.03
azobenzene reductase activity	FC (WS / NS)	3.14 (7.81 / 0)	-	-	-	-	0.25 (5.78 / 4.71)
 	Percentile (%)	1.595	-	-	-	-	22.155
acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity	FC (WS / NS)	3.13 (7.74 / 0)	-1.54 (0 / 1.91)	0.14 (3.58 / 3.17)	-	-	0.2 (4 / 3.36)
 	Percentile (%)	1.642	85.898	28.519	-	-	24.937
S-adenosylhomocysteine deaminase activity	FC (WS / NS)	3.13 (7.73 / 0)	-	0.23 (5.25 / 4.32)	2.06 (3.17 / 0)	-	1.23 (3.46 / 0.91)
 	Percentile (%)	1.689	-	22.843	3.714	-	3.885
5'-methylthioadenosine deaminase activity	FC (WS / NS)	3.13 (7.73 / 0)	-	-	2.06 (3.17 / 0)	-	1.13 (3.17 / 0.91)
 	Percentile (%)	1.735	-	-	3.778	-	6.617
cofactor transmembrane transporter activity	FC (WS / NS)	3.11 (7.66 / 0)	-	0.16 (8.71 / 7.71)	-	-	0.22 (4.25 / 3.49)
 	Percentile (%)	1.782	-	27.008	-	-	23.409
heme transporter activity	FC (WS / NS)	3.02 (7.14 / 0)	-	0 (0 / 0)	-	-	-0.54 (1 / 1.91)
 	Percentile (%)	2.205	-	57.794	-	-	85.313
biotin-[acetyl-CoA-carboxylase] ligase activity	FC (WS / NS)	2.95 (6.72 / 0)	-1.69 (0 / 2.23)	0.09 (4.32 / 4)	-	-	0.19 (3.46 / 2.91)
 	Percentile (%)	2.251	88.197	32.845	-	-	25.89
biotin-protein ligase activity	FC (WS / NS)	2.95 (6.72 / 0)	-2.08 (0 / 3.23)	0.08 (5.32 / 5)	-	-	0.19 (3.46 / 2.91)
 	Percentile (%)	2.345	91.614	34.218	-	-	25.915
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	FC (WS / NS)	2.91 (6.51 / 0)	0.63 (4.39 / 2.49)	-0.19 (8.94 / 10.33)	0.55 (5.73 / 3.58)	-	0.15 (6.78 / 5.99)
 	Percentile (%)	2.392	14.723	79.881	11.778	-	28.596
tagatose-6-phosphate kinase activity	FC (WS / NS)	2.9 (6.46 / 0)	-	1.02 (7.09 / 3)	1.33 (5.49 / 1.58)	-	1.36 (6.44 / 1.91)
 	Percentile (%)	2.439	-	8.309	5.619	-	3.559
endodeoxyribonuclease activity, producing 5'-phosphomonoesters	FC (WS / NS)	2.9 (6.46 / 0)	-	-0.31 (6.91 / 8.81)	-	-	0.27 (5.91 / 4.71)
 	Percentile (%)	2.486	-	82.971	-	-	20.576
dihydroorotate dehydrogenase activity	FC (WS / NS)	2.86 (6.27 / 0)	-	0.41 (5.64 / 4)	0.61 (5.58 / 3.32)	-	0.3 (4.81 / 3.71)
 	Percentile (%)	2.674	-	16.777	11.175	-	19.499
ADP-glyceromanno-heptose 6-epimerase activity	FC (WS / NS)	2.85 (6.22 / 0)	0.14 (5.04 / 4.49)	-	-	-	0 (5.21 / 5.19)
 	Percentile (%)	2.72	33.142	-	-	-	57.118
