GO Term	Fold Change	Unipept	EggNOG	MEGAN	MetaGOmics	MPA	Prophane
peptide deformylase activity	FC (WS / NS)	2.92 (5.86 / -0.09)	0.14 (0 / -0.09)	2.71 (5.52 / 0)	2.73 (5.61 / 0)	-	-
 	Percentile (%)	0.025	30.175	0.092	0.349	-	-
1-phosphofructokinase activity	FC (WS / NS)	2.81 (5.36 / -0.09)	-	2.52 (4.75 / 0)	2.63 (5.17 / 0)	-0.3 (-0.19 / 0)	-
 	Percentile (%)	0.05	-	0.435	0.603	70.122	-
glycerol dehydrogenase [NAD+] activity	FC (WS / NS)	2.68 (4.81 / -0.09)	-	1.52 (4.75 / 1)	1.54 (4.81 / 1)	-	-
 	Percentile (%)	0.1	-	5.631	4.921	-	-
glycerol dehydrogenase [NAD(P)+] activity	FC (WS / NS)	2.68 (4.81 / -0.09)	-	1.52 (4.75 / 1)	1.54 (4.81 / 1)	-	-
 	Percentile (%)	0.125	-	5.676	5.016	-	-
beta-fructofuranosidase activity	FC (WS / NS)	2.65 (4.7 / -0.09)	-	2.66 (5.32 / 0)	2.5 (4.64 / 0)	-	-
 	Percentile (%)	0.15	-	0.114	1.048	-	-
ADP-ribose diphosphatase activity	FC (WS / NS)	2.51 (4.17 / -0.09)	0.14 (0 / -0.09)	0 (0 / 0)	-	-	-
 	Percentile (%)	0.226	30.905	62.669	-	-	-
galactose-6-phosphate isomerase activity	FC (WS / NS)	2.51 (4.17 / -0.09)	-	0 (4.91 / 4.91)	2.29 (3.91 / 0)	-	-
 	Percentile (%)	0.251	-	62.943	1.746	-	-
choline-phosphate cytidylyltransferase activity	FC (WS / NS)	2.38 (3.7 / -0.09)	-	2.35 (4.09 / 0)	-	-	-
 	Percentile (%)	0.276	-	0.824	-	-	-
hydroxymethylglutaryl-CoA synthase activity	FC (WS / NS)	2.3 (3.46 / -0.09)	-	2 (3 / 0)	2 (3 / 0)	-	-
 	Percentile (%)	0.301	-	2.678	3.81	-	-
non-membrane spanning protein tyrosine kinase activity	FC (WS / NS)	2.3 (3.46 / -0.09)	-	0.33 (6.29 / 4.81)	1.16 (3.46 / 1)	-	-
 	Percentile (%)	0.326	-	19.158	6.508	-	-
phosphoglycolate phosphatase activity	FC (WS / NS)	2.25 (3.32 / -0.09)	-	-	-	-	-
 	Percentile (%)	0.401	-	-	-	-	-
methanol dehydrogenase activity	FC (WS / NS)	2.25 (3.32 / -0.09)	-	-	-	-	-
 	Percentile (%)	0.476	-	-	-	-	-
CTP:tRNA cytidylyltransferase activity	FC (WS / NS)	2.25 (3.32 / -0.09)	-	0.27 (3.58 / 2.81)	-	-	-
 	Percentile (%)	0.501	-	21.103	-	-	-
CTP:3'-cytidine-tRNA cytidylyltransferase activity	FC (WS / NS)	2.25 (3.32 / -0.09)	-	0.27 (3.58 / 2.81)	-	-	-
 	Percentile (%)	0.526	-	21.126	-	-	-
ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity	FC (WS / NS)	2.25 (3.32 / -0.09)	-	0.27 (3.58 / 2.81)	-	-	-
 	Percentile (%)	0.551	-	21.149	-	-	-
alpha-amylase activity	FC (WS / NS)	2.14 (3 / -0.09)	1 (1 / 0)	0.79 (4.75 / 2.32)	0.4 (5.32 / 3.81)	-	-
 	Percentile (%)	0.627	8.34	13.184	14.381	-	-
amylase activity	FC (WS / NS)	2.14 (3 / -0.09)	1.58 (2 / 0)	0.64 (5.75 / 3.32)	0.33 (6.32 / 4.81)	-	-
 	Percentile (%)	0.677	3.976	14.145	16.825	-	-
alpha-amylase activity (releasing maltohexaose)	FC (WS / NS)	2.14 (3 / -0.09)	-	-	0.38 (5.25 / 3.81)	-	-
 	Percentile (%)	0.752	-	-	15.175	-	-
dCMP deaminase activity	FC (WS / NS)	2.07 (2.81 / -0.09)	-	1.58 (2 / 0)	-	-	-
 	Percentile (%)	0.777	-	4.372	-	-	-
glutamate-cysteine ligase activity	FC (WS / NS)	2.07 (2.81 / -0.09)	0.14 (0 / -0.09)	0 (0 / 0)	-	-	-
 	Percentile (%)	0.802	26.013	54.246	-	-	-
pantoate-beta-alanine ligase activity	FC (WS / NS)	2.07 (2.81 / -0.09)	-	1.37 (1.58 / 0)	1.41 (4.32 / 1)	-	-
 	Percentile (%)	0.827	-	6.226	5.429	-	-
transmembrane receptor protein tyrosine kinase activity	FC (WS / NS)	2.07 (2.81 / -0.09)	-3.01 (0 / 7.03)	-	-	-	-
 	Percentile (%)	0.852	99.099	-	-	-	-
cyclopropane-fatty-acyl-phospholipid synthase activity	FC (WS / NS)	2.07 (2.81 / -0.09)	-	1.84 (2.58 / 0)	-	-	-
 	Percentile (%)	0.902	-	3.456	-	-	-
dGTPase activity	FC (WS / NS)	2.07 (2.81 / -0.09)	-	0 (0 / 0)	-	-	-
 	Percentile (%)	0.927	-	56.649	-	-	-
triphosphoric monoester hydrolase activity	FC (WS / NS)	2.07 (2.81 / -0.09)	-	-1 (0 / 1)	-	-	-
 	Percentile (%)	1.103	-	89.792	-	-	-
transmembrane receptor protein kinase activity	FC (WS / NS)	2.07 (2.81 / -0.09)	-3.06 (0 / 7.36)	-	-	-	-
 	Percentile (%)	1.128	99.425	-	-	-	-
N,N-dimethylaniline monooxygenase activity	FC (WS / NS)	1.88 (2.32 / -0.09)	-	-	-	-	-
 	Percentile (%)	1.353	-	-	-	-	-
beta-glucosidase activity	FC (WS / NS)	1.88 (2.32 / -0.09)	1 (1 / 0)	0.89 (6.43 / 3)	-	-	-
 	Percentile (%)	1.378	8.744	12.566	-	-	-
