GO Term	Fold Change	MPA	EggNOG	MEGAN	MetaGOmics	Prophane	Unipept
biotin binding	FC (WS / NS)	3.58 (10.93 / 0)	-0.32 (1 / 1.49)	-	0.89 (7.02 / 3.32)	-	0.98 (7.37 / 3.23)
 	Percentile (%)	0.047	63.837	-	8.061	-	11.024
heat shock protein binding	FC (WS / NS)	3.48 (10.12 / 0)	-0.32 (1 / 1.49)	-	0.06 (9.59 / 9.14)	NaN (-2 / 0)	0.23 (6.57 / 5.46)
 	Percentile (%)	0.094	63.604	-	39.162	85.363	21.523
oxaloacetate metabolic process	FC (WS / NS)	3.4 (9.56 / 0)	-	1.34 (5.52 / 1.58)	0.31 (7.59 / 5.93)	NaN (-1.68 / 0)	0.5 (5.95 / 3.91)
 	Percentile (%)	0.141	-	7.58	17.391	70.943	15.184
phosphoenolpyruvate carboxylase activity	FC (WS / NS)	3.4 (9.56 / 0)	1.38 (5.46 / 1.49)	1.34 (5.52 / 1.58)	1.18 (5.81 / 2)	-1.64 (-0.68 / 0)	0.72 (5.98 / 3.23)
 	Percentile (%)	0.188	5.308	7.602	6.379	58.041	12.711
carbon fixation	FC (WS / NS)	3.4 (9.56 / 0)	-0.78 (2 / 4.15)	0.05 (7.87 / 7.56)	1.04 (5.83 / 2.32)	NaN (-1.68 / -0.74)	0.64 (5.98 / 3.49)
 	Percentile (%)	0.234	72.528	38.333	7.077	81.171	13.808
acetyl-CoA C-acyltransferase activity	FC (WS / NS)	-3.84 (0 / 13.33)	-3.39 (0 / 9.47)	-3.4 (0 / 9.58)	-3.37 (0 / 9.37)	-2.29 (0 / 3.89)	-3.36 (0 / 9.25)
 	Percentile (%)	99.812	99.984	99.84	99.937	59.74	100
polyol catabolic process	FC (WS / NS)	-3.84 (0 / 13.35)	-0.31 (5.55 / 7.11)	-0.62 (6.38 / 10.34)	-0.18 (9.33 / 10.69)	0.86 (0 / -0.45)	-0.85 (3.46 / 7.03)
 	Percentile (%)	99.859	63.278	86.833	67.883	9.649	82.31
acyl-CoA dehydrogenase activity	FC (WS / NS)	-3.85 (0 / 13.42)	-0.69 (1 / 2.23)	-1.01 (4.58 / 10.29)	-1.41 (2.58 / 8.54)	3.42 (0 / -0.91)	-1.1 (3.58 / 8.81)
 	Percentile (%)	99.906	71.488	91.527	88.131	0.687	88.911
pyruvate, phosphate dikinase activity	FC (WS / NS)	-3.9 (0 / 13.88)	-	-0.23 (6.15 / 7.39)	-1.16 (2.58 / 6.99)	-0.34 (0.17 / 0.49)	-0.98 (3.17 / 7.23)
 	Percentile (%)	99.953	-	81.337	86.29	49.837	88.534
CoA-transferase activity	FC (WS / NS)	-4.02 (0 / 15.26)	-0.09 (9.02 / 9.69)	-0.95 (6.13 / 12.75)	-0.93 (4.86 / 10.15)	-2.36 (0 / 4.12)	-1.03 (4.64 / 10.51)
 	Percentile (%)	100	57.116	88.07	84.1	59.776	88.681
