GO Term	Fold Change	Unipept	EggNOG	MEGAN	MetaGOmics	MPA	Prophane
response to wounding	FC (WS / NS)	2.75 (5.09 / -0.09)	-	-	-	0.86 (0.81 / 0)	-
 	Percentile (%)	0.108	-	-	-	9.005	-
RNA secondary structure unwinding	FC (WS / NS)	2.51 (4.17 / -0.09)	0.27 (4.7 / 3.71)	-	-	0.86 (0.81 / 0)	-
 	Percentile (%)	0.216	17.292	-	-	9.078	-
galactose catabolic process	FC (WS / NS)	2.51 (4.17 / -0.09)	-	0 (4.91 / 4.91)	-	-	-
 	Percentile (%)	0.252	-	59.98	-	-	-
tRNA 3'-terminal CCA addition	FC (WS / NS)	2.25 (3.32 / -0.09)	-	0.27 (3.58 / 2.81)	-	-	-
 	Percentile (%)	0.467	-	18.923	-	-	-
regulation of DNA repair	FC (WS / NS)	2.25 (3.32 / -0.09)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	0.503	22.88	-	-	-	-
rRNA catabolic process	FC (WS / NS)	2.14 (3 / -0.09)	-	1.73 (2.32 / 0)	-	-2.81 (0 / 6)	-
 	Percentile (%)	0.755	-	4.045	-	90.196	-
L-methionine salvage from S-adenosylmethionine	FC (WS / NS)	2.14 (3 / -0.09)	0.04 (2.81 / 2.71)	-0.33 (4.75 / 6.23)	-0.42 (3.17 / 4.58)	-	-
 	Percentile (%)	0.791	41.724	85.356	80.374	-	-
dTDP biosynthetic process	FC (WS / NS)	2.07 (2.81 / -0.09)	-	0.2 (2.81 / 2.32)	-	-	-
 	Percentile (%)	1.007	-	22.635	-	-	-
pyrimidine nucleoside diphosphate metabolic process	FC (WS / NS)	2.07 (2.81 / -0.09)	0.31 (6.83 / 5.3)	0.11 (5.39 / 4.91)	-	-	-
 	Percentile (%)	1.115	16.432	27.884	-	-	-
deoxyribonucleoside diphosphate metabolic process	FC (WS / NS)	2.07 (2.81 / -0.09)	-	0 (7.08 / 7.1)	-	-	-
 	Percentile (%)	1.151	-	67.536	-	-	-
pyrimidine deoxyribonucleoside diphosphate metabolic process	FC (WS / NS)	2.07 (2.81 / -0.09)	-	0.13 (4.81 / 4.32)	-	-	-
 	Percentile (%)	1.187	-	26.78	-	-	-
mannose metabolic process	FC (WS / NS)	1.99 (2.58 / -0.09)	-	1.58 (2 / 0)	-	-	-
 	Percentile (%)	1.223	-	4.547	-	-	-
L-phenylalanine biosynthetic process	FC (WS / NS)	1.99 (2.58 / -0.09)	-	0.43 (5.17 / 3.58)	-	-	-
 	Percentile (%)	1.259	-	14.711	-	-	-
hydrogen peroxide catabolic process	FC (WS / NS)	1.99 (2.58 / -0.09)	-0.43 (1.58 / 2.49)	-	-0.23 (5.91 / 7.1)	0 (0 / 0)	-
 	Percentile (%)	1.294	71.053	-	73.783	45.243	-
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process	FC (WS / NS)	1.99 (2.58 / -0.09)	-0.05 (7 / 7.31)	-0.23 (8.74 / 10.4)	-	-	0.07 (-7.25 / -6.94)
 	Percentile (%)	1.33	59.326	83.417	-	-	37.811
methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione	FC (WS / NS)	1.73 (2 / -0.09)	-	-	-	-	-
 	Percentile (%)	1.834	-	-	-	-	-
cellulose catabolic process	FC (WS / NS)	1.73 (2 / -0.09)	-	1 (1 / 0)	-	-	-
 	Percentile (%)	1.87	-	9.027	-	-	-
poly-hydroxybutyrate biosynthetic process	FC (WS / NS)	1.73 (2 / -0.09)	0 (0 / 0)	-	-2.77 (0 / 5.81)	-	-
 	Percentile (%)	1.942	52.018	-	98.721	-	-
beta-glucan metabolic process	FC (WS / NS)	1.73 (2 / -0.09)	-	0.35 (3.58 / 2.58)	-	-	-
 	Percentile (%)	2.05	-	16.817	-	-	-
poly(hydroxyalkanoate) metabolic process	FC (WS / NS)	1.73 (2 / -0.09)	1.84 (2.58 / 0)	-	-3.14 (0 / 7.81)	-	-
 	Percentile (%)	2.086	2.699	-	99.754	-	-
ethanol oxidation	FC (WS / NS)	1.51 (1.58 / -0.09)	-	-2 (0 / 3)	-	-	-
 	Percentile (%)	2.337	-	96.724	-	-	-
amino-acid betaine metabolic process	FC (WS / NS)	1.51 (1.58 / -0.09)	-0.3 (4.86 / 6.21)	1.58 (2 / 0)	-	-	-
 	Percentile (%)	2.373	67.471	4.58	-	-	-
regulation of pH	FC (WS / NS)	1.51 (1.58 / -0.09)	-0.16 (4.58 / 5.23)	0 (0 / 0)	-	-	-
 	Percentile (%)	2.409	63.578	55.767	-	-	-
response to toxic substance	FC (WS / NS)	1.51 (1.58 / -0.09)	0.02 (9.11 / 8.96)	-0.03 (12.44 / 12.73)	-	-	-
 	Percentile (%)	2.589	44.184	73.855	-	-	-
aspartate transmembrane transport	FC (WS / NS)	1.51 (1.58 / -0.09)	-1.69 (0 / 2.23)	-	-	-	-
 	Percentile (%)	2.625	89.157	-	-	-	-
L-glutamate transmembrane transport	FC (WS / NS)	1.51 (1.58 / -0.09)	-	-1.93 (0 / 2.81)	-	-2.58 (0 / 5)	-
 	Percentile (%)	2.661	-	96.623	-	88.671	-
glycine betaine biosynthetic process from choline	FC (WS / NS)	1.51 (1.58 / -0.09)	0.42 (2.32 / 1.49)	-	-	-	-
 	Percentile (%)	2.805	14.282	-	-	-	-
bacteriocin transport	FC (WS / NS)	1.51 (1.58 / -0.09)	-1.02 (1.58 / 4.23)	1 (1 / 0)	-	-	-
 	Percentile (%)	2.949	82.159	9.495	-	-	-
oxazole or thiazole metabolic process	FC (WS / NS)	1.51 (1.58 / -0.09)	-	1.22 (6 / 2)	-	-	-
 	Percentile (%)	2.985	-	7.054	-	-	-
thiazole biosynthetic process	FC (WS / NS)	1.51 (1.58 / -0.09)	-	2.32 (4 / 0)	2.32 (4 / 0)	-	-
