GO Term	Fold Change	MetaGOmics	EggNOG	MEGAN	MPA	Prophane	Unipept
pyruvate oxidase activity	FC (WS / NS)	3.02 (7.11 / 0)	-	-	-	-	-
 	Percentile (%)	0.068	-	-	-	-	-
serine-type endopeptidase inhibitor activity	FC (WS / NS)	2.93 (6.63 / 0)	0.14 (0 / -0.09)	0 (0 / 0)	0.86 (0.81 / 0)	-	1.29 (5.09 / 1.49)
 	Percentile (%)	0.137	22.594	54.597	8.86	-	3.848
response to wounding	FC (WS / NS)	2.93 (6.63 / 0)	-	-	0.86 (0.81 / 0)	-	2.75 (5.09 / -0.09)
 	Percentile (%)	0.205	-	-	9.005	-	0.108
peptidase regulator activity	FC (WS / NS)	2.93 (6.63 / 0)	-3.27 (0 / 8.68)	-1.73 (0 / 2.32)	-1.15 (5.37 / 13.11)	-	-0.34 (5.49 / 7.2)
 	Percentile (%)	0.274	99.928	95.219	83.733	-	82.596
homocysteine catabolic process	FC (WS / NS)	2.9 (6.44 / 0)	0 (0 / 0)	-	-	-	-
 	Percentile (%)	0.342	52.376	-	-	-	-
butyrate-acetoacetate CoA-transferase activity	FC (WS / NS)	-3.14 (0 / 7.83)	-	-	-2.94 (0 / 6.67)	-	-
 	Percentile (%)	99.726	-	-	91.794	-	-
lysine 2,3-aminomutase activity	FC (WS / NS)	-3.15 (0 / 7.86)	-	-3.21 (0 / 8.28)	-3.36 (0 / 9.27)	-	-3.19 (0 / 8.13)
 	Percentile (%)	99.795	-	99.833	96.078	-	100
beta-lysine 5,6-aminomutase activity	FC (WS / NS)	-3.16 (0 / 7.94)	-	-	-	-	-
 	Percentile (%)	99.863	-	-	-	-	-
glutaconate CoA-transferase activity	FC (WS / NS)	-3.19 (0 / 8.15)	-	-	-3.14 (0 / 7.85)	-	-
 	Percentile (%)	99.932	-	-	93.464	-	-
acetyl-CoA C-acetyltransferase activity	FC (WS / NS)	-3.22 (0 / 8.34)	-3.24 (0 / 8.47)	-3.26 (0 / 8.58)	-3.84 (0 / 13.32)	-	-
 	Percentile (%)	100	99.881	99.866	99.71	-	-
