GO Term	Fold Change	MPA	EggNOG	MEGAN	MetaGOmics	Prophane	Unipept
plasma membrane	FC (WS / NS)	3.15 (7.91 / 0)	 (0 / 0.94)	3.52 (68 / 5)	0.2 (6979 / 6086)	0 (0 / 0)	0.04 (2128 / 2064.18)
 	Percentile (%)	0.639	0.005	1.802	47.861	29.135	56.925
plasma membrane	FC (WS / NS)	3.15 (7.91 / 0)	 (0 / 0.94)	3.52 (68 / 5)	0.2 (6979 / 6086)	0 (0 / 0)	0.04 (2128 / 2064.18)
 	Percentile (%)	0.639	0.005	1.802	47.861	29.135	56.925
plasma membrane	FC (WS / NS)	3.15 (7.91 / 0)	 (0 / 0.94)	3.52 (68 / 5)	0.2 (6979 / 6086)	0 (0 / 0)	0.04 (2128 / 2064.18)
 	Percentile (%)	0.639	0.005	1.802	47.861	29.135	56.925
plasma membrane	FC (WS / NS)	3.15 (7.91 / 0)	 (0 / 0.94)	3.52 (68 / 5)	0.2 (6979 / 6086)	0 (0 / 0)	0.04 (2128 / 2064.18)
 	Percentile (%)	0.639	0.005	1.802	47.861	29.135	56.925
plasma membrane	FC (WS / NS)	3.15 (7.91 / 0)	 (0 / 0.94)	3.52 (68 / 5)	0.2 (6979 / 6086)	0 (0 / 0)	0.04 (2128 / 2064.18)
 	Percentile (%)	0.639	0.005	1.802	47.861	29.135	56.925
plasma membrane	FC (WS / NS)	3.15 (7.91 / 0)	 (0 / 0.94)	3.52 (68 / 5)	0.2 (6979 / 6086)	0 (0 / 0)	0.04 (2128 / 2064.18)
 	Percentile (%)	0.639	0.005	1.802	47.861	29.135	56.925
plasma membrane	FC (WS / NS)	3.15 (7.91 / 0)	 (0 / 0.94)	3.52 (68 / 5)	0.2 (6979 / 6086)	0 (0 / 0)	0.04 (2128 / 2064.18)
 	Percentile (%)	0.639	0.005	1.802	47.861	29.135	56.925
plasma membrane	FC (WS / NS)	3.15 (7.91 / 0)	 (0 / 0.94)	3.52 (68 / 5)	0.2 (6979 / 6086)	0 (0 / 0)	0.04 (2128 / 2064.18)
 	Percentile (%)	0.639	0.005	1.802	47.861	29.135	56.925
plasma membrane	FC (WS / NS)	3.15 (7.91 / 0)	 (0 / 0.94)	3.52 (68 / 5)	0.2 (6979 / 6086)	0 (0 / 0)	0.04 (2128 / 2064.18)
 	Percentile (%)	0.639	0.005	1.802	47.861	29.135	56.925
plasma membrane	FC (WS / NS)	3.15 (7.91 / 0)	 (0 / 0.94)	3.52 (68 / 5)	0.2 (6979 / 6086)	0 (0 / 0)	0.04 (2128 / 2064.18)
 	Percentile (%)	0.639	0.005	1.802	47.861	29.135	56.925
plasma membrane	FC (WS / NS)	3.15 (7.91 / 0)	 (0 / 0.94)	3.52 (68 / 5)	0.2 (6979 / 6086)	0 (0 / 0)	0.04 (2128 / 2064.18)
 	Percentile (%)	0.639	0.005	1.802	47.861	29.135	56.925
plasma membrane	FC (WS / NS)	3.15 (7.91 / 0)	 (0 / 0.94)	3.52 (68 / 5)	0.2 (6979 / 6086)	0 (0 / 0)	0.04 (2128 / 2064.18)
 	Percentile (%)	0.639	0.005	1.802	47.861	29.135	56.925
plasma membrane	FC (WS / NS)	3.15 (7.91 / 0)	 (0 / 0.94)	3.52 (68 / 5)	0.2 (6979 / 6086)	0 (0 / 0)	0.04 (2128 / 2064.18)
 	Percentile (%)	0.639	0.005	1.802	47.861	29.135	56.925
integral component of membrane	FC (WS / NS)	3.29 (8.78 / 0)	 (3 / 4.68)	3.52 (68 / 5)	-0.26 (2329 / 2787)	0 (0 / 0)	-0.35 (4528 / 5753.28)
 	Percentile (%)	0.578	0.309	1.802	54.33	29.135	67.583
outer membrane	FC (WS / NS)	3.01 (7.03 / 0)	 (0 / 0.94)	2.81 (6 / 0)	-0.93 (906 / 1728)	0 (0 / 0)	-0.13 (651 / 711.79)
 	Percentile (%)	1.114	0.005	4.985	65.748	39.474	60.609
