GO Term	Fold Change	Unipept	EggNOG	MEGAN	MetaGOmics	MPA	Prophane
cell wall	FC (WS / NS)	3.22 (532 / 56.19)	 (0 / 0.94)	5.58 (47 / 0)	0.77 (3807 / 2230)	2.84 (6.15 / 0)	0 (0 / 0)
 	Percentile (%)	1.13	0.005	0.06	30.187	1.463	43.985
postsynapse	FC (WS / NS)	2.8 (19 / 1.87)	-	-	-	-	-
 	Percentile (%)	1.866	-	-	-	-	-
septin ring	FC (WS / NS)	2.8 (71 / 9.37)	 (1 / 0)	3.52 (68 / 5)	3.72 (65 / 4)	2.17 (3.51 / 0)	-
 	Percentile (%)	2.014	11.171	1.802	2.545	4.817	-
mediator complex	FC (WS / NS)	2.77 (25 / 2.81)	 (1 / 0)	-	-	-	-
 	Percentile (%)	2.161	4.403	-	-	-	-
polyhedral organelle	FC (WS / NS)	2.51 (10 / 0.94)	 (0 / 5.62)	-	-0.86 (58 / 106)	-	-
 	Percentile (%)	3.389	13.178	-	64.97	-	-
ribonucleoside-diphosphate reductase complex	FC (WS / NS)	2.33 (37 / 6.56)	 (0 / 0.94)	1.93 (41 / 10)	0.87 (105 / 57)	1.86 (2.64 / 0)	0 (0 / 0)
 	Percentile (%)	4.322	0.607	10.931	28.773	7.018	6.767
nitrate reductase complex	FC (WS / NS)	1.66 (88 / 27.16)	 (0 / 2.81)	1.89 (25 / 6)	0.46 (83 / 60)	1.46 (1.76 / 0)	0 (0 / 0)
 	Percentile (%)	9.381	0.228	11.111	39.555	13.553	58.459
actin cytoskeleton	FC (WS / NS)	1.66 (11 / 2.81)	 (1 / 0)	-1 (0 / 1)	-	-	-
 	Percentile (%)	9.627	11.171	70.33	-	-	-
Smc5-Smc6 complex	FC (WS / NS)	1.63 (5 / 0.94)	-	0.44 (18 / 13)	-	-	-
 	Percentile (%)	10.609	-	41.922	-	-	-
mitochondrial proton-transporting ATP synthase, catalytic core	FC (WS / NS)	1.58 (16 / 4.68)	 (0 / 2.81)	-	0.47 (268 / 193)	-	-
 	Percentile (%)	11.248	31.123	-	38.848	-	-
myelin sheath	FC (WS / NS)	1.56 (57 / 18.73)	-	-	-	-	-
 	Percentile (%)	11.64	-	-	-	-	-
intrinsic component of plasma membrane	FC (WS / NS)	1.55 (43 / 14.05)	 (0 / 0.94)	2 (3 / 0)	-	1.46 (1.76 / 0)	-
 	Percentile (%)	11.788	0.342	9.73	-	13.488	-
protein-DNA complex	FC (WS / NS)	1.54 (21 / 6.56)	 (2 / 0)	0.58 (2 / 1)	1.48 (113 / 40)	-	-
 	Percentile (%)	11.886	6.128	38.799	17.603	-	-
GMP reductase complex	FC (WS / NS)	1.45 (12 / 3.75)	-	-	-	0.91 (0.88 / 0)	-
 	Percentile (%)	13.065	-	-	-	20.968	-
presynaptic active zone	FC (WS / NS)	1.37 (4 / 0.94)	-	-	-	-	-
 	Percentile (%)	14.391	-	-	-	-	-
exocyst	FC (WS / NS)	1.37 (4 / 0.94)	-	-	-	-	-
 	Percentile (%)	14.44	-	-	-	-	-
spindle pole	FC (WS / NS)	1.28 (6 / 1.87)	 (0 / 1.87)	1 (1 / 0)	-4.25 (0 / 18)	-	-
 	Percentile (%)	15.914	9.799	28.649	94.132	-	-
extracellular region	FC (WS / NS)	1.2 (1480 / 644.35)	 (0 / 0)	5.58 (47 / 0)	0.57 (2335 / 1572)	2.84 (6.15 / 0)	0 (0 / 0)
 	Percentile (%)	16.847	0.201	0.06	35.454	1.463	10.902
polyphosphate kinase complex	FC (WS / NS)	1.08 (9 / 3.75)	-	0.81 (6 / 3)	-	-1 (0 / 1)	-
 	Percentile (%)	19.204	-	35.495	-	54.4	-
mitochondrial intermembrane space	FC (WS / NS)	1.08 (9 / 3.75)	 (1 / 0)	0.58 (2 / 1)	-1.17 (62 / 141)	-	-
 	Percentile (%)	19.253	23.639	39.279	68.505	-	-
Golgi apparatus	FC (WS / NS)	1.07 (66 / 30.91)	 (0 / 0.94)	-0.74 (2 / 4)	-	-	0 (0 / 0)
 	Percentile (%)	19.548	2.126	61.562	-	-	28.759
glutamyl-tRNA(Gln) amidotransferase complex	FC (WS / NS)	1.07 (125 / 59)	 (1 / 0)	0.44 (71 / 52)	1.23 (116 / 49)	3.01 (7.03 / 0)	-
 	Percentile (%)	19.597	4.696	41.862	21.492	0.88	-
polysomal ribosome	FC (WS / NS)	1.05 (3 / 0.94)	-	-	-	-	-
 	Percentile (%)	20.923	-	-	-	-	-
proteasome core complex, alpha-subunit complex	FC (WS / NS)	1.05 (3 / 0.94)	-	-	-	-	-
 	Percentile (%)	20.972	-	-	-	-	-
CCAAT-binding factor complex	FC (WS / NS)	1.05 (3 / 0.94)	-	-	-	-	-
 	Percentile (%)	21.022	-	-	-	-	-
condensin complex	FC (WS / NS)	1.05 (3 / 0.94)	 (0 / 0.94)	1 (1 / 0)	-	-	-
 	Percentile (%)	21.071	2.739	23.123	-	-	-
bacterial-type flagellum basal body, MS ring	FC (WS / NS)	1.05 (3 / 0.94)	-	-	-	-	-
 	Percentile (%)	21.12	-	-	-	-	-
clathrin adaptor complex	FC (WS / NS)	1.05 (3 / 0.94)	-	-	-	-	-
 	Percentile (%)	21.169	-	-	-	-	-
endoplasmic reticulum	FC (WS / NS)	1.04 (59 / 28.1)	 (0 / 0.94)	1.34 (37 / 14)	-	-	-
 	Percentile (%)	22.004	2.126	19.76	-	-	-
cell division site	FC (WS / NS)	0.94 (319 / 165.77)	 (2 / 0)	1 (227 / 113)	0.95 (291 / 150)	1.82 (20.2 / 5)	0 (0 / 0)
 	Percentile (%)	23.674	0.64	25.405	26.653	9.474	6.391
signal recognition particle	FC (WS / NS)	0.89 (60 / 31.84)	 (1 / 0)	1.58 (53 / 17)	1.51 (53 / 18)	1.86 (2.64 / 0)	0 (0 / 0)
 	Percentile (%)	24.411	4.387	13.273	17.391	7.532	51.128
Ku70:Ku80 complex	FC (WS / NS)	0.8 (4 / 1.87)	-	-1 (0 / 1)	-	-	-
 	Percentile (%)	26.081	-	66.066	-	-	-
microtubule organizing center	FC (WS / NS)	0.8 (4 / 1.87)	 (0 / 1.87)	1 (1 / 0)	-4.25 (0 / 18)	-	-
 	Percentile (%)	26.13	9.799	28.408	94.238	-	-
DNA replication factor C complex	FC (WS / NS)	0.8 (4 / 1.87)	-	2 (3 / 0)	-	-	-
 	Percentile (%)	26.179	-	9.249	-	-	-
phosphopyruvate hydratase complex	FC (WS / NS)	0.78 (796 / 464.53)	 (0 / 14.05)	0.72 (798 / 484)	0.48 (595 / 427)	2.42 (57.98 / 10)	-
 	Percentile (%)	26.916	51.079	36.997	38.494	3.63	-
