"eggNOG"	"MEGAN"	"metaGOmics"	"MPA"	"Unipept"	"Prophane"
"1"	"Peptidase propeptide and YPEB domain"	"Streptococcal surface antigen repeat"	"pyruvate oxidase activity"	"Ferritin"	"peptide deformylase activity"	"carboxy-lyase activity; catalytic activity; ornithine decarboxylase activity; binding; intracellular; cell; cytoplasm; organic acid metabolic process; cellular amino acid metabolic process; nitrogen compound metabolic process; metabolic process; arginine decarboxylase activity; lysine decarboxylase activity; cellular process; lyase activity; carbon-carbon lyase activity; carboxylic acid metabolic process; pyridoxal phosphate binding; ion binding; anion binding; oxoacid metabolic process; cellular metabolic process; primary metabolic process; small molecule metabolic process; intracellular part; cell part; NA; cofactor binding; organic substance metabolic process; organonitrogen compound metabolic process"
"2"	"Orn lys arg decarboxylase"	"acetolactate synthase"	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, oxygen as acceptor"	"Non-heme iron-containing ferritin"	"1-phosphofructokinase activity"	"structural molecule activity; cell; plasma membrane; cell outer membrane; membrane; integral component of membrane; outer membrane; external encapsulating structure; cell envelope; intrinsic component of membrane; envelope; membrane part; external encapsulating structure part; cell part; cell periphery"
"3"	"Glycosyl hydrolase family 70"	"Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate) (By similarity)"	"serine-type endopeptidase inhibitor activity"	"Clp protease ClpX"	"D-tagatose 6-phosphate catabolic process"	"catalytic activity; peroxidase activity; metabolic process; electron transfer activity; cellular process; protein disulfide oxidoreductase activity; disulfide oxidoreductase activity; antioxidant activity; oxidoreductase activity; oxidoreductase activity, acting on a sulfur group of donors; oxidoreductase activity, acting on peroxide as acceptor; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; cellular homeostasis; homeostatic process; NA; NA; NA; cell redox homeostasis; regulation of biological process; regulation of cellular process; peroxiredoxin activity; oxidation-reduction process; biological regulation; regulation of biological quality"
"4"	"DNA protection during starvation protein"	"ec 3.2.1.52"	"response to wounding"	"Chaperone protein DnaK"	"tagatose-6-phosphate kinase activity"	"ATP binding; nucleotide binding; nucleoside binding; purine nucleoside binding; binding; protein folding; response to stress; metabolic process; cellular process; purine nucleotide binding; protein metabolic process; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; small molecule binding; ion binding; anion binding; macromolecule metabolic process; cellular metabolic process; primary metabolic process; cellular macromolecule metabolic process; cellular protein metabolic process; response to stimulus; organic substance metabolic process; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding"
"5"	"Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin (By similarity)"	"Cell Wall"	"poly(ribitol phosphate) teichoic acid metabolic process"	"ATP-dependent protease ATP-binding subunit"	"response to wounding"	"nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; transporter activity; binding; ATP binding; intracellular; cell; cytoplasm; plasma membrane; nucleobase-containing compound metabolic process; purine nucleoside catabolic process; purine nucleotide metabolic process; purine nucleotide biosynthetic process; purine nucleotide catabolic process; NA; cellular aromatic compound metabolic process; nucleoside phosphate metabolic process; ATP biosynthetic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; transport; ion transport; cation transport; NA; metabolic process; cation transmembrane transporter activity; proton-exporting ATPase activity, phosphorylative mechanism; catabolic process; biosynthetic process; nucleoside metabolic process; nucleotide metabolic process; ribonucleoside metabolic process; nucleoside monophosphate metabolic process; nucleoside monophosphate biosynthetic process; nucleoside monophosphate catabolic process; purine nucleoside monophosphate metabolic process; purine nucleoside monophosphate biosynthetic process; purine nucleoside monophosphate catabolic process; nucleoside triphosphate metabolic process; nucleoside triphosphate biosynthetic process; nucleoside triphosphate catabolic process; purine nucleoside triphosphate metabolic process; purine nucleoside triphosphate biosynthetic process; purine nucleoside triphosphate catabolic process; purine ribonucleotide metabolic process; purine ribonucleotide biosynthetic process; purine ribonucleotide catabolic process; ribonucleoside monophosphate biosynthetic process; ribonucleoside monophosphate catabolic process; ribonucleoside monophosphate metabolic process; nucleoside biosynthetic process; nucleoside catabolic process; nucleotide biosynthetic process; nucleotide catabolic process; purine ribonucleoside monophosphate metabolic process; purine ribonucleoside monophosphate biosynthetic process; purine ribonucleoside monophosphate catabolic process; ribonucleoside triphosphate metabolic process; ribonucleoside triphosphate biosynthetic process; ribonucleoside triphosphate catabolic process; purine ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate catabolic process; ribonucleotide metabolic process; ribonucleotide biosynthetic process; ribonucleotide catabolic process; cellular process; ion transmembrane transporter activity; monovalent inorganic cation transmembrane transporter activity; proton transmembrane transporter activity; primary active transmembrane transporter activity; P-P-bond-hydrolysis-driven transmembrane transporter activity; ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism; monovalent inorganic cation transport; energy coupled proton transport, down electrochemical gradient; ATP synthesis coupled proton transport; energy coupled proton transmembrane transport, against electrochemical gradient; ATP hydrolysis coupled proton transport; NA; membrane; pyrophosphatase activity; proton-transporting two-sector ATPase complex; hydrolase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; NA; ATPase activity; purine nucleotide binding; nucleoside-triphosphatase activity; heterocycle biosynthetic process; aromatic compound biosynthetic process; aromatic compound catabolic process; organophosphate metabolic process; ribose phosphate metabolic process; cation-transporting ATPase activity; active transmembrane transporter activity; transmembrane transporter activity; inorganic cation transmembrane transporter activity; NA; NA; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; protein-containing complex; proton-transporting two-sector ATPase complex, catalytic domain; ion transmembrane transport; cellular nitrogen compound metabolic process; nucleobase-containing compound biosynthetic process; nucleobase-containing compound catabolic process; purine ribonucleoside triphosphate binding; small molecule binding; purine nucleoside metabolic process; purine nucleoside biosynthetic process; ribonucleoside catabolic process; ribonucleoside biosynthetic process; ATPase activity, coupled; ATPase coupled ion transmembrane transporter activity; ATPase activity, coupled to transmembrane movement of substances; plasma membrane ATP synthesis coupled proton transport; ion binding; anion binding; organelle; membrane-bounded organelle; intracellular organelle; intracellular membrane-bounded organelle; NA; ATPase activity, coupled to movement of substances; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular nitrogen compound catabolic process; cellular nitrogen compound biosynthetic process; small molecule metabolic process; intracellular part; membrane part; cytoplasmic part; cell part; NA; NA; NA; NA; ATPase activity, coupled to transmembrane movement of ions, rotational mechanism; proton-transporting ATP synthase complex; proton-transporting ATP synthase complex, catalytic core F(1); ATP metabolic process; purine ribonucleoside metabolic process; purine ribonucleoside biosynthetic process; purine ribonucleoside catabolic process; ribose phosphate biosynthetic process; organophosphate catabolic process; heterocycle metabolic process; heterocycle catabolic process; proton-transporting ATP synthase activity, rotational mechanism; localization; establishment of localization; transmembrane transport; nucleobase-containing small molecule metabolic process; organic substance metabolic process; cell periphery; purine-containing compound metabolic process; purine-containing compound biosynthetic process; purine-containing compound catabolic process; organophosphate biosynthetic process; organic cyclic compound binding; carbohydrate derivative metabolic process; carbohydrate derivative catabolic process; carbohydrate derivative biosynthetic process; nucleoside phosphate binding; nucleoside phosphate catabolic process; nucleoside phosphate biosynthetic process; organic cyclic compound metabolic process; organic cyclic compound catabolic process; organic cyclic compound biosynthetic process; heterocyclic compound binding; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organonitrogen compound biosynthetic process; organic substance catabolic process; organic substance biosynthetic process; glycosyl compound metabolic process; glycosyl compound catabolic process; glycosyl compound biosynthetic process"
"6"	"Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)"	"aminopeptidase c"	"poly(ribitol phosphate) teichoic acid biosynthetic process"	"50S ribosomal protein L7/L12"	"branched-chain-amino-acid transaminase activity"	"phosphoglycerate kinase activity; nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; binding; ATP binding; intracellular; cell; cytoplasm; carbohydrate metabolic process; monosaccharide metabolic process; glucose metabolic process; glucose catabolic process; generation of precursor metabolites and energy; glycolytic process; phosphorus metabolic process; phosphate-containing compound metabolic process; metabolic process; catabolic process; cellular process; carbohydrate catabolic process; kinase activity; phosphorylation; transferase activity; transferase activity, transferring phosphorus-containing groups; phosphotransferase activity, carboxyl group as acceptor; purine nucleotide binding; hexose metabolic process; hexose catabolic process; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; small molecule binding; ion binding; anion binding; cellular metabolic process; primary metabolic process; intracellular part; cell part; NA; NA; monosaccharide catabolic process; organic substance metabolic process; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding; organic substance catabolic process"
"7"	"succinate CoA transferase"	"Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions (By similarity)"	"L(+)-tartrate dehydratase activity"	"ATP-dependent Clp protease ATP-binding subunit"	"generation of precursor metabolites and energy"	"succinate dehydrogenase activity; nucleotide binding; catalytic activity; binding; generation of precursor metabolites and energy; tricarboxylic acid cycle; metabolic process; succinate dehydrogenase (ubiquinone) activity; aerobic respiration; anaerobic respiration; cellular process; energy derivation by oxidation of organic compounds; oxidoreductase activity; oxidoreductase activity, acting on the CH-CH group of donors; oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor; electron transport chain; small molecule binding; ion binding; anion binding; cellular metabolic process; primary metabolic process; NA; cellular respiration; cofactor binding; flavin adenine dinucleotide binding; coenzyme binding; oxidation-reduction process; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding"
"8"	"Seems to be the binding site for several of the factors involved in protein synthesis and appears to be essential for accurate translation (By similarity)"	"Hydrolase"	"ribitol-5-phosphate 2-dehydrogenase activity"	"ATP-dependent Clp protease ATP-binding subunit"	"biotin binding"	"catalytic activity; proteolysis; metabolic process; peptidase activity; metallopeptidase activity; hydrolase activity; protein metabolic process; macromolecule metabolic process; primary metabolic process; peptidase activity, acting on L-amino acid peptides; organic substance metabolic process"
"9"	"Pfam:YadA"	"ENOG410YESU"	"glyceraldehyde-3-phosphate dehydrogenase (NADP+) (non-phosphorylating) activity"	"50S ribosomal protein L7/L12"	"glycerol dehydrogenase [NAD+] activity"	"ATP binding; nucleotide binding; nucleoside binding; purine nucleoside binding; binding; protein folding; response to stress; metabolic process; cellular process; purine nucleotide binding; protein metabolic process; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; small molecule binding; ion binding; anion binding; macromolecule metabolic process; cellular metabolic process; primary metabolic process; cellular macromolecule metabolic process; cellular protein metabolic process; response to stimulus; organic substance metabolic process; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding"
"10"	"ATP-dependent Clp protease ATP-binding subunit"	"peptidase"	"collagen binding"	"ATP-dependent protease ATP-binding subunit"	"beta-fructofuranosidase activity"	"ferric iron binding; transition metal ion transport; catalytic activity; ferroxidase activity; binding; iron ion binding; transport; ion transport; cation transport; iron ion transport; cellular ion homeostasis; cellular metal ion homeostasis; cellular iron ion homeostasis; metabolic process; cellular process; oxidoreductase activity; oxidoreductase activity, oxidizing metal ions; oxidoreductase activity, oxidizing metal ions, oxygen as acceptor; cellular homeostasis; metal ion transport; cellular cation homeostasis; homeostatic process; ion binding; cation binding; NA; NA; NA; NA; metal ion binding; transition metal ion binding; cellular transition metal ion homeostasis; chemical homeostasis; ion homeostasis; localization; establishment of localization; metal ion homeostasis; iron ion homeostasis; transition metal ion homeostasis; cation homeostasis; cellular chemical homeostasis; oxidation-reduction process; biological regulation; regulation of biological quality"
