name	EggNOG	MEGAN	MetaGOmics	Prophane
1	peptide deformylase activity			29	
2	1-phosphofructokinase activity			17	
3	D-tagatose 6-phosphate catabolic process		35	39	
4	tagatose-6-phosphate kinase activity			37	
5	response to wounding	4380, 7028, 8617, 11835, 15433		4	
6	branched-chain-amino-acid transaminase activity			670	
7	generation of precursor metabolites and energy	63, 69, 186, 326, 342, 460, 1044, 1046, 1315, 1343, 1411, 1478, 1532, 1592, 1611, 1683, 1744, 2188, 2455, 2669, 2943, 2950, 3082, 3549, 4500, 4851, 4959, 5216, 5275, 5655, 5722, 5775, 6339, 6786, 6805, 7232, 8092, 8107, 8319, 8373, 8428, 8856, 9065, 9098, 9166, 10187, 10351, 10383, 10427, 10466, 10487, 10580, 10644, 10847, 10859, 10865, 11171, 12464, 12789, 12880, 13220, 13244, 13472, 13857, 14110, 14121, 14179, 14251, 14261, 14457, 14992, 15297, 15342, 15363, 15367, 15650, 15772, 16051, 16053, 16202, 16369, 16379, 16714, 16733, 16802, 17072, 17074, 17078, 17282, 17546, 17549	29, 170, 179, 203, 216, 312, 332, 357, 358, 361, 479, 572, 577, 641, 731, 932, 983, 990, 1001, 1219, 1240, 1283, 1295, 1325, 1381, 1561, 1578, 1606, 1655		103, 116, 157, 199, 236
8	biotin binding	7082, 13506		89	
9	glycerol dehydrogenase [NAD+] activity			33	
10	beta-fructofuranosidase activity			24	
